Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
40X40CM,MW90,INSERTS,100% Polyester,Extra Firm Fill,12.2,,,,,,,
40X40CM,MW91,INSERTS,30% Down 70% Feather,Normal,$19.00,,,,,,,
40X40CM,MW92,INSERTS,30% Down 70% Feather,Firm Fill,21.6,,,,,,,
40X40CM,MW93,INSERTS,30% Down 70% Feather,Extra Firm Fill,24.2,,,,,,,
40X40CM,MW94,INSERTS,50% Down 50% Feather,Normal,$27.00,,,,,,,
40X40CM,MW95,INSERTS,50% Down 50% Feather,Firm Fill,29.6,,,,,,,
40X40CM,MW96,INSERTS,50% Down 50% Feather,Extra Firm Fill,32.2,,,,,,,
40X40CM,MW97,INSERTS,80% Down 20% Feather,Normal,$44.00,,,,,,,
40X40CM,MW98,INSERTS,80% Down 20% Feather,Firm Fill,46.6,,,,,,,
40X40CM,MW99,INSERTS,80% Down 20% Feather,Extra Firm Fill,49.2,,,,,,,
45X45CM,MW100,INSERTS,100% Feather,Normal,$10.50,,,,,,,
45X45CM,MW101,INSERTS,100% Feather,Firm Fill,11.1,,,,,,,
45X45CM,MW102,INSERTS,100% Feather,Extra Firm Fill,11.7,,,,,,,
45X45CM,MW103,INSERTS,Duck Feather - Foam,Normal,$12.00,,,,,,,
45X45CM,MW104,INSERTS,Duck Feather - Foam,Firm Fill,12.6,,,,,,,
45X45CM,MW105,INSERTS,Duck Feather - Foam,Extra Firm Fill,13.2,,,,,,,
45X45CM,MW106,INSERTS,Duck Feather - Fibre,Normal,$12.00,,,,,,,
45X45CM,MW107,INSERTS,Duck Feather - Fibre,Firm Fill,12.6,,,,,,,
45X45CM,MW108,INSERTS,Duck Feather - Fibre,Extra Firm Fill,13.2,,,,,,,
45X45CM,MW109,INSERTS,100% Polyester,Normal,$12.00,,,,,,,
45X45CM,MW110,INSERTS,100% Polyester,Firm Fill,12.6,,,,,,,
45X45CM,MW111,INSERTS,100% Polyester,Extra Firm Fill,13.2,,,,,,,
45X45CM,MW112,INSERTS,30% Down 70% Feather,Normal,$23.50,,,,,,,
45X45CM,MW113,INSERTS,30% Down 70% Feather,Firm Fill,26.1,,,,,,,
45X45CM,MW114,INSERTS,30% Down 70% Feather,Extra Firm Fill,28.7,,,,,,,
45X45CM,MW115,INSERTS,50% Down 50% Feather,Normal,$32.80,,,,,,,
45X45CM,MW116,INSERTS,50% Down 50% Feather,Firm Fill,35.4,,,,,,,
45X45CM,MW117,INSERTS,50% Down 50% Feather,Extra Firm Fill,38,,,,,,,
45X45CM,MW118,INSERTS,80% Down 20% Feather,Normal,$48.50,,,,,,,
45X45CM,MW119,INSERTS,80% Down 20% Feather,Firm Fill,51.1,,,,,,,
45X45CM,MW120,INSERTS,80% Down 20% Feather,Extra Firm Fill,53.7,,,,,,,
40X80CM,MW121,INSERTS,100% Feather,Normal,$19.00,,,,,,,
40X80CM,MW122,INSERTS,100% Feather,Firm Fill,19.6,,,,,,,
40X80CM,MW123,INSERTS,100% Feather,Extra Firm Fill,20.2,,,,,,,
40X80CM,MW124,INSERTS,Duck Feather - Foam,Normal,$21.25,,,,,,,
40X80CM,MW125,INSERTS,Duck Feather - Foam,Firm Fill,21.85,,,,,,,
40X80CM,MW126,INSERTS,Duck Feather - Foam,Extra Firm Fill,22.45,,,,,,,
40X80CM,MW127,INSERTS,Duck Feather - Fibre,Normal,$21.25,,,,,,,
40X80CM,MW128,INSERTS,Duck Feather - Fibre,Firm Fill,21.85,,,,,,,
40X80CM,MW129,INSERTS,Duck Feather - Fibre,Extra Firm Fill,22.45,,,,,,,
40X80CM,MW130,INSERTS,100% Polyester,Normal,$21.25,,,,,,,
40X80CM,MW131,INSERTS,100% Polyester,Firm Fill,21.85,,,,,,,
40X80CM,MW132,INSERTS,100% Polyester,Extra Firm Fill,22.45,,,,,,,
40X80CM,MW133,INSERTS,30% Down 70% Feather,Normal,$43.00,,,,,,,
40X80CM,MW134,INSERTS,30% Down 70% Feather,Firm Fill,45.6,,,,,,,
40X80CM,MW135,INSERTS,30% Down 70% Feather,Extra Firm Fill,48.2,,,,,,,
40X80CM,MW136,INSERTS,50% Down 50% Feather,Normal,$68.40,,,,,,,
40X80CM,MW137,INSERTS,50% Down 50% Feather,Firm Fill,71,,,,,,,
40X80CM,MW138,INSERTS,50% Down 50% Feather,Extra Firm Fill,73.6,,,,,,,
40X80CM,MW139,INSERTS,80% Down 20% Feather,Normal,$83.00,,,,,,,
40X80CM,MW140,INSERTS,80% Down 20% Feather,Firm Fill,85.6,,,,,,,
40X80CM,MW141,INSERTS,80% Down 20% Feather,Extra Firm Fill,88.2,,,,,,,
45X70CM,MW142,INSERTS,100% Feather,Normal,$17.65,,,,,,,
45X70CM,MW143,INSERTS,100% Feather,Firm Fill,18.25,,,,,,,
45X70CM,MW144,INSERTS,100% Feather,Extra Firm Fill,18.85,,,,,,,
45X70CM,MW145,INSERTS,Duck Feather - Foam,Normal,$20.00,,,,,,,
45X70CM,MW146,INSERTS,Duck Feather - Foam,Firm Fill,20.6,,,,,,,
45X70CM,MW147,INSERTS,Duck Feather - Foam,Extra Firm Fill,21.2,,,,,,,
45X70CM,MW148,INSERTS,Duck Feather - Fibre,Normal,$20.00,,,,,,,
45X70CM,MW149,INSERTS,Duck Feather - Fibre,Firm Fill,20.6,,,,,,,
45X70CM,MW150,INSERTS,Duck Feather - Fibre,Extra Firm Fill,21.2,,,,,,,
45X70CM,MW151,INSERTS,100% Polyester,Normal,$20.00,,,,,,,
45X70CM,MW152,INSERTS,100% Polyester,Firm Fill,20.6,,,,,,,
45X70CM,MW153,INSERTS,100% Polyester,Extra Firm Fill,21.2,,,,,,,
45X70CM,MW154,INSERTS,30% Down 70% Feather,Normal,$36.70,,,,,,,
45X70CM,MW155,INSERTS,30% Down 70% Feather,Firm Fill,39.3,,,,,,,
45X70CM,MW156,INSERTS,30% Down 70% Feather,Extra Firm Fill,41.9,,,,,,,
45X70CM,MW157,INSERTS,50% Down 50% Feather,Normal,$52.15,,,,,,,
45X70CM,MW158,INSERTS,50% Down 50% Feather,Firm Fill,54.75,,,,,,,
45X70CM,MW159,INSERTS,50% Down 50% Feather,Extra Firm Fill,57.35,,,,,,,
45X70CM,MW160,INSERTS,80% Down 20% Feather,Normal,$73.00,,,,,,,
45X70CM,MW161,INSERTS,80% Down 20% Feather,Firm Fill,75.6,,,,,,,
45X70CM,MW162,INSERTS,80% Down 20% Feather,Extra Firm Fill,78.2,,,,,,,
50X110CM,INSERTS,PFH125,100% Feather,Normal,$50.00,,,,,,,
50X110CM,INSERTS,PFH126,100% Feather,Firm Fill,$50.60,,,,,,,
50X110CM,INSERTS,PFH127,100% Feather,Extra Firm Fill,$51.80,,,,,,,
50X110CM,INSERTS,PFH128,Duck Feather - Foam,Normal,$50.00,,,,,,,
50X110CM,INSERTS,PFH129,Duck Feather - Foam,Firm Fill,$50.60,,,,,,,
50X110CM,INSERTS,PFH130,Duck Feather - Foam,Extra Firm Fill,$51.20,,,,,,,
50X110CM,INSERTS,PFH131,Duck Feather - Fibre,Normal,$50.00,,,,,,,
50X110CM,INSERTS,PFH132,Duck Feather - Fibre,Firm Fill,$50.60,,,,,,,
50X110CM,INSERTS,PFH133,Duck Feather - Fibre,Extra Firm Fill,$51.20,,,,,,,
50X110CM,INSERTS,PFH134,100% Polyester,Normal,$46.00,,,,,,,
50X110CM,INSERTS,PFH135,100% Polyester,Firm Fill,$46.60,,,,,,,
50X110CM,INSERTS,PFH136,100% Polyester,Extra Firm Fill,$47.20,,,,,,,
50X110CM,INSERTS,PFH137,30% Down 70% Feather,Normal,$95.00,,,,,,,
50X110CM,INSERTS,PFH138,30% Down 70% Feather,Firm Fill,$96.00,,,,,,,
50X110CM,INSERTS,PFH139,30% Down 70% Feather,Extra Firm Fill,96.6,,,,,,,
50X110CM,INSERTS,PFH140,50% Down 50% Feather,Normal,$113.25,,,,,,,
50X110CM,INSERTS,PFH141,50% Down 50% Feather,Firm Fill,$114.25,,,,,,,
50X110CM,INSERTS,PFH142,50% Down 50% Feather,Extra Firm Fill,$114.85,,,,,,,
50X110CM,INSERTS,PFH143,80% Down 20% Feather,Normal,$136.25,,,,,,,
50X110CM,INSERTS,PFH144,80% Down 20% Feather,Firm Fill,$137.25,,,,,,,
50X110CM,INSERTS,PFH145,80% Down 20% Feather,Extra Firm Fill,$137.85,,,,,,,
50X30CM,MW184,INSERTS,100% Feather,Normal,$13.20,,,,,,,
50X30CM,MW185,INSERTS,100% Feather,Firm Fill,13.8,,,,,,,
50X30CM,MW186,INSERTS,100% Feather,Extra Firm Fill,14.4,,,,,,,
50X30CM,MW187,INSERTS,Duck Feather - Foam,Normal,$15.00,,,,,,,
50X30CM,MW188,INSERTS,Duck Feather - Foam,Firm Fill,15.6,,,,,,,
50X30CM,MW189,INSERTS,Duck Feather - Foam,Extra Firm Fill,16.2,,,,,,,
50X30CM,MW190,INSERTS,Duck Feather - Fibre,Normal,$15.00,,,,,,,
50X30CM,MW191,INSERTS,Duck Feather - Fibre,Firm Fill,15.6,,,,,,,
50X30CM,MW192,INSERTS,Duck Feather - Fibre,Extra Firm Fill,16.2,,,,,,,
50X30CM,MW193,INSERTS,100% Polyester,Normal,$15.00,,,,,,,
50X30CM,MW194,INSERTS,100% Polyester,Firm Fill,15.6,,,,,,,
50X30CM,MW195,INSERTS,100% Polyester,Extra Firm Fill,16.2,,,,,,,
50X30CM,MW196,INSERTS,30% Down 70% Feather,Normal,$23.00,,,,,,,
50X30CM,MW197,INSERTS,30% Down 70% Feather,Firm Fill,25.6,,,,,,,
50X30CM,MW198,INSERTS,30% Down 70% Feather,Extra Firm Fill,28.2,,,,,,,
50X30CM,MW199,INSERTS,50% Down 50% Feather,Normal,$31.00,,,,,,,
50X30CM,MW200,INSERTS,50% Down 50% Feather,Firm Fill,33.6,,,,,,,
50X30CM,MW201,INSERTS,50% Down 50% Feather,Extra Firm Fill,36.2,,,,,,,
50X30CM,MW202,INSERTS,80% Down 20% Feather,Normal,$48.00,,,,,,,
50X30CM,MW203,INSERTS,80% Down 20% Feather,Firm Fill,50.6,,,,,,,
50X30CM,MW204,INSERTS,80% Down 20% Feather,Extra Firm Fill,53.2,,,,,,,
