Product Name,Category,SKU,Filling,Weight,Customer Price,,,,,,,,
DOUBLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,WALTER26,Goose,,$110.00,,,,,,,,
KING SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,WALTER27,Duck,,$100.50,,,,,,,,
KING SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,WALTER28,Goose,,$110.00,,,,,,,,
QUEEN - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,WALTER29,Duck,,$106.50,,,,,,,,
QUEEN - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,WALTER30,Goose,,$133.00,,,,,,,,
KING - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,WALTER31,Duck,,$120.50,,,,,,,,
KING - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,WALTER32,Goose,,$156.50,,,,,,,,
DOUBLE - MICROSOFT,MICROSOFT,WALTER33,Polyester,,$45.00,,,,,,,,
KING - MICROSOFT,MICROSOFT,WALTER34,Polyester,,$56.00,,,,,,,,
QUEEN - MICROSOFT,MICROSOFT,WALTER35,Polyester,,$50.00,,,,,,,,
SINGLE - MICROSOFT,MICROSOFT,WALTER36,Polyester,,$35.00,,,,,,,,
STANDARD 100% FEATHER PILLOW,PIPED PILLOWS,WALTER37,100% Feather,Duck,$20.00,,,,,,,,
STANDARD 30% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER38,30% Down 70% Feather,Duck,$32.00,,,,,,,,
STANDARD 50% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER39,50% Down 50% Feather,Duck,$40.00,,,,,,,,
STANDARD 80% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER40,80% Down 20% Feather,Duck,$60.00,,,,,,,,
STANDARD 30% GOOSE DOWN PILLOW,PIPED PILLOWS,WALTER41,80% Down 20% Feather,Goose,$95.00,,,,,,,,
QUEEN 100% FEATHER PILLOW,PIPED PILLOWS,WALTER42,100% Feather,Duck,$25.00,,,,,,,,
QUEEN 30% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER43,30% Down 70% Feather,Duck,$51.00,,,,,,,,
QUEEN 50% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER44,50% Down 50% Feather,Duck,$65.00,,,,,,,,
QUEEN 80% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER45,80% Down 20% Feather,Duck,$87.50,,,,,,,,
QUEEN 80% GOOSE DOWN PILLOW,PIPED PILLOWS,WALTER46,80% Down 20% Feather,Goose,$120.00,,,,,,,,
KING 100% FEATHER PILLOW,PIPED PILLOWS,WALTER47,100% Feather,Duck,$25.00,,,,,,,,
KING 30% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER48,30% Down 70% Feather,Duck,$51.00,,,,,,,,
KING 50% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER49,50% Down 50% Feather,Duck,$65.00,,,,,,,,
KING 80% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER50,80% Down 20% Feather,Duck,$87.50,,,,,,,,
KING 80% GOOSE DOWN PILLOW,PIPED PILLOWS,WALTER51,80% Down 20% Feather,Goose,$120.00,,,,,,,,
EURO 100% FEATHER PILLOW,PIPED PILLOWS,WALTER52,100% Feather,Duck,$25.00,,,,,,,,
EURO 30% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER53,30% Down 70% Feather,Duck,$51.00,,,,,,,,
EURO 50% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER54,50% Down 50% Feather,Duck,$65.00,,,,,,,,
EURO 80% DUCK DOWN PILLOW,PIPED PILLOWS,WALTER55,80% Down 20% Feather,Duck,$87.50,,,,,,,,
EURO 80% GOOSE DOWN PILLOW,PIPED PILLOWS,WALTER56,80% Down 20% Feather,Goose,$120.00,,,,,,,,
SINGLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,WALTER57,Duck,,$136.50,,,,,,,,
SINGLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,WALTER58,Goose,,$180.00,,,,,,,,
DOUBLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,WALTER59,Duck,,$159.00,,,,,,,,
DOUBLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,WALTER60,Goose,,$205.00,,,,,,,,
QUEEN - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,WALTER61,Duck,,$186.00,,,,,,,,
QUEEN - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,WALTER62,Goose,,$245.00,,,,,,,,
KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,WALTER63,Duck,,$210.00,,,,,,,,
KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,WALTER64,Goose,,$265.00,,,,,,,,
SUPER KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,WALTER65,Duck,,$280.00,,,,,,,,
SUPER KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,WALTER66,Goose,,$340.00,,,,,,,,
SINGLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,WALTER67,Duck,,$80.00,,,,,,,,
DOUBLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,WALTER68,Duck,,$90.00,,,,,,,,
QUEEN - 50% DUCK WINTER,50% DUCK WINTER FILLED,WALTER69,Duck,,$105.00,,,,,,,,
KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,WALTER70,Duck,,$120.00,,,,,,,,
SUPER KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,WALTER71,Duck,,$145.00,,,,,,,,
SINGLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,WALTER72,Duck,,$70.00,,,,,,,,
DOUBLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,WALTER73,Duck,,$80.00,,,,,,,,
QUEEN - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,WALTER74,Duck,,$95.00,,,,,,,,
KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,WALTER75,Duck,,$105.00,,,,,,,,
SUPER KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,WALTER76,Duck,,$135.00,,,,,,,,
SINGLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,WALTER77,Duck,,$95.00,,,,,,,,
SINGLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,WALTER78,Goose,,$149.00,,,,,,,,
SINGLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,WALTER79,Hungarian,,$159.00,,,,,,,,
DOUBLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,WALTER80,Duck,,$110.00,,,,,,,,
DOUBLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,WALTER81,Goose,,$173.00,,,,,,,,
DOUBLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,WALTER82,Hungarian,,$183.00,,,,,,,,
QUEEN - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,WALTER83,Duck,,$127.50,,,,,,,,
QUEEN - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,WALTER84,Goose,,$197.00,,,,,,,,
QUEEN - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,WALTER85,Hungarian,,$216.50,,,,,,,,
KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,WALTER86,Duck,,$140.50,,,,,,,,
KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,WALTER87,Goose,,$224.50,,,,,,,,
KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,WALTER88,Hungarian,,$232.00,,,,,,,,
