Product Name,Category,SKU,Filling,Weight,Customer Price,,,,,,,
SUPER KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,PFH380,Duck,,$145.00,,,,,,,
SINGLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,PFH381,Duck,,$70.00,,,,,,,
DOUBLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,PFH382,Duck,,$80.00,,,,,,,
QUEEN - 50% DUCK DOWN MID WARM ,50% MID WARM FILLED,PFH383,Duck,,$95.00,,,,,,,
KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,PFH384,Duck,,$105.00,,,,,,,
SUPER KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,PFH385,Duck,,$135.00,,,,,,,
SINGLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,PFH386,Duck,,$95.00,,,,,,,
SINGLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,PFH387,Goose,,$149.00,,,,,,,
SINGLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,PFH388,Hungarian,,$159.00,,,,,,,
DOUBLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,PFH389,Duck,,$110.00,,,,,,,
DOUBLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,PFH390,Goose,,$173.00,,,,,,,
DOUBLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,PFH391,Hungarian,,$183.00,,,,,,,
QUEEN - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,PFH392,Duck,,$127.50,,,,,,,
QUEEN - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,PFH393,Goose,,$197.00,,,,,,,
QUEEN - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,PFH394,Hungarian,,$216.50,,,,,,,
KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,PFH395,Duck,,$140.50,,,,,,,
KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,PFH396,Goose,,$224.50,,,,,,,
KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,PFH397,Hungarian,,$232.00,,,,,,,
SUPER KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,PFH398,Duck,,$182.00,,,,,,,
SUPER KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,PFH399,Goose,,$309.50,,,,,,,
SUPER KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,PFH400,Hungarian,,$314.00,,,,,,,
SINGLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,PFH401,Duck,,$105.00,,,,,,,
SINGLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,PFH402,Goose,,$160.00,,,,,,,
DOUBLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,PFH403,Duck,,$120.00,,,,,,,
DOUBLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,PFH404,Goose,,$185.00,,,,,,,
QUEEN - 80% DUCK DOWN WINTER,80% WINTER FILLED,PFH405,Duck,,$140.00,,,,,,,
QUEEN - 80% GOOSE DOWN WINTER,80% WINTER FILLED,PFH406,Goose,,$215.00,,,,,,,
KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,PFH407,Duck,,$160.00,,,,,,,
KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,PFH408,Goose,,$245.00,,,,,,,
SUPER KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,PFH409,Duck,,$230.00,,,,,,,
SUPER KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,PFH410,Goose,,$330.00,,,,,,,
SINGLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,PFH411,Duck,,$70.50,,,,,,,
DOUBLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,PFH412,Duck,,$80.50,,,,,,,
QUEEN - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,PFH413,Duck,,$95.00,,,,,,,
KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,PFH414,Duck,,$104.00,,,,,,,
SUPER KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,PFH415,Duck,,$139.00,,,,,,,
SINGLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,PFH416,GOOSE,,$149.00,,,,,,,
DOUBLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,PFH417,GOOSE,,$173.00,,,,,,,
QUEEN - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,PFH418,GOOSE,,$197.00,,,,,,,
KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,PFH419,GOOSE,,$224.50,,,,,,,
SUPER KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,PFH420,GOOSE,,$309.50,,,,,,,
STANDARD CHAMBER PILLOW - 80% DUCK DOWN,CHAMBER PILLOW,PFH421,Duck,,$40.00,,,,,,,
KING 80% CHAMBER PILLOW,CHAMBER PILLOW,PFH422,Duck,,$62.00,,,,,,,
STANDARD CHAMBER PILLOW - 50% DUCK DOWN,CHAMBER PILLOW,PFH423,Duck,,$32.00,,,,,,,
KING 50% CHAMBER PILLOW,CHAMBER PILLOW,PFH424,Duck,,,,,,,,,
STANDARD PILLOW - 80% HUNGARIAN PILLOW,STRIP PILLOW,PFH425,Hungarian,,$105.00,,,,,,,
KING PILLOW - 80% HUNGARIAN PILLOW,STRIP PILLOW,PFH426,Hungarian,,$113.00,,,,,,,
SINGLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,PFH427,Hungarian,,$142.20,,,,,,,
DOUBLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,PFH428,Hungarian,,$173.70,,,,,,,
QUEEN - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,PFH429,Hungarian,,$188.20,,,,,,,
KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,PFH430,Hungarian,,$209.20,,,,,,,
SUPER KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,PFH431,Hungarian,,$276.20,,,,,,,
Double/Queen 230 x 240cms 450gms - SILVER BLANKET,SILVER BLANKET,PFH432,Silver Blanket,,$70.00,,,,,,,
King/Super King 270 x 240cms 535 gms - SILVER BLANKET,SILVER BLANKET,PFH433,Silver Blanket,,$81.00,,,,,,,
Single/ King Single 180 x 230gms 300gms - SILVER BLANKET,SILVER BLANKET,PFH434,Silver Blanket,,$56.00,,,,,,,
Double/Queen 230 x 240cms 450gms - KHAKI BLANKET,KHAKI BLANKET,PFH435,Khaki Blanket,,$70.00,,,,,,,
King/Super King 270 x 240cms 535 gms - KHAKI BLANKET,KHAKI BLANKET,PFH436,Khaki Blanket,,$81.00,,,,,,,
