Product Name,Category,SKU,Filling,Weight, Customer Price 
40X80CM - (43X83CM),INSERTS,PFH96,50% Down 50% Feather,Firm Fill,$71.00
40X80CM - (43X83CM),INSERTS,PFH97,50% Down 50% Feather,Extra Firm Fill,$73.60
40X80CM - (43X83CM),INSERTS,PFH98,80% Down 20% Feather,Normal,$83.00
40X80CM - (43X83CM),INSERTS,PFH99,80% Down 20% Feather,Firm Fill,$85.60
40X80CM - (43X83CM),INSERTS,PFH100,80% Down 20% Feather,Extra Firm Fill,$88.20
45X70CM - (48X73CM),INSERTS,PFH101,100% Feather,Normal,$17.65
45X70CM - (48X73CM),INSERTS,PFH102,100% Feather,Firm Fill,$18.25
45X70CM - (48X73CM),INSERTS,PFH103,100% Feather,Extra Firm Fill,$18.85
45X70CM - (48X73CM),INSERTS,PFH104,Duck Feather - Foam,Normal,$20.00
45X70CM - (48X73CM),INSERTS,PFH105,Duck Feather - Foam,Firm Fill,$20.60
45X70CM - (48X73CM),INSERTS,PFH106,Duck Feather - Foam,Extra Firm Fill,$21.20
45X70CM - (48X73CM),INSERTS,PFH107,Duck Feather - Fibre,Normal,$20.00
45X70CM - (48X73CM),INSERTS,PFH108,Duck Feather - Fibre,Firm Fill,$20.60
45X70CM - (48X73CM),INSERTS,PFH109,Duck Feather - Fibre,Extra Firm Fill,$21.20
45X70CM - (48X73CM),INSERTS,PFH110,100% Polyester,Normal,$20.00
45X70CM - (48X73CM),INSERTS,PFH111,100% Polyester,Firm Fill,$20.60
45X70CM - (48X73CM),INSERTS,PFH112,100% Polyester,Extra Firm Fill,$21.20
45X70CM - (48X73CM),INSERTS,PFH113,30% Down 70% Feather,Normal,$36.70
45X70CM - (48X73CM),INSERTS,PFH114,30% Down 70% Feather,Firm Fill,$39.30
45X70CM - (48X73CM),INSERTS,PFH115,30% Down 70% Feather,Extra Firm Fill,$41.90
45X70CM - (48X73CM),INSERTS,PFH116,50% Down 50% Feather,Normal,$52.15
45X70CM - (48X73CM),INSERTS,PFH117,50% Down 50% Feather,Firm Fill,$54.75
45X70CM - (48X73CM),INSERTS,PFH118,50% Down 50% Feather,Extra Firm Fill,$57.35
45X70CM - (48X73CM),INSERTS,PFH119,80% Down 20% Feather,Normal,$73.00
45X70CM - (48X73CM),INSERTS,PFH120,80% Down 20% Feather,Firm Fill,$75.60
45X70CM - (48X73CM),INSERTS,PFH121,80% Down 20% Feather,Extra Firm Fill,$78.20
50X110CM - (53X113CM),INSERTS,PFH122,100% Feather,Normal,$46.00
50X110CM - (53X113CM),INSERTS,PFH123,100% Feather,Firm Fill,$46.60
50X110CM - (53X113CM),INSERTS,PFH124,100% Feather,Extra Firm Fill,$47.20
50X110CM - (53X113CM),INSERTS,PFH125,Duck Feather - Foam,Normal,$46.00
50X110CM - (53X113CM),INSERTS,PFH126,Duck Feather - Foam,Firm Fill,$46.60
50X110CM - (53X113CM),INSERTS,PFH127,Duck Feather - Foam,Extra Firm Fill,$47.20
50X110CM - (53X113CM),INSERTS,PFH128,Duck Feather - Fibre,Normal,$46.00
50X110CM - (53X113CM),INSERTS,PFH129,Duck Feather - Fibre,Firm Fill,$46.60
50X110CM - (53X113CM),INSERTS,PFH130,Duck Feather - Fibre,Extra Firm Fill,$47.20
50X110CM - (53X113CM),INSERTS,PFH131,100% Polyester,Normal,$46.00
50X110CM - (53X113CM),INSERTS,PFH132,100% Polyester,Firm Fill,$46.60
50X110CM - (53X113CM),INSERTS,PFH133,100% Polyester,Extra Firm Fill,$47.20
50X110CM - (53X113CM),INSERTS,PFH134,30% Down 70% Feather,Normal,$91.00
50X110CM - (53X113CM),INSERTS,PFH135,30% Down 70% Feather,Firm Fill,$93.60
50X110CM - (53X113CM),INSERTS,PFH136,30% Down 70% Feather,Extra Firm Fill,$96.20
50X110CM - (53X113CM),INSERTS,PFH137,50% Down 50% Feather,Normal,$109.25
50X110CM - (53X113CM),INSERTS,PFH138,50% Down 50% Feather,Firm Fill,$111.85
50X110CM - (53X113CM),INSERTS,PFH139,50% Down 50% Feather,Extra Firm Fill,$114.45
50X110CM - (53X113CM),INSERTS,PFH140,80% Down 20% Feather,Normal,$132.25
50X110CM - (53X113CM),INSERTS,PFH141,80% Down 20% Feather,Firm Fill,$134.85
50X110CM - (53X113CM),INSERTS,PFH142,80% Down 20% Feather,Extra Firm Fill,$137.45
50X30CM - (53X33CM),INSERTS,PFH143,100% Feather,Normal,$13.20
50X30CM - (53X33CM),INSERTS,PFH144,100% Feather,Firm Fill,$13.80
50X30CM - (53X33CM),INSERTS,PFH145,100% Feather,Extra Firm Fill,$14.40
50X30CM - (53X33CM),INSERTS,PFH146,Duck Feather - Foam,Normal,$15.00
50X30CM - (53X33CM),INSERTS,PFH147,Duck Feather - Foam,Firm Fill,$15.60
