Product Name,Category,,Filling,Weight, Customer Price ,,,,,,,,,
KING - 80% MID WARM FILLED,80% MID WARM FILLED,SC88,Duck,,161.5,,,,,,,,,
KING - 80% MID WARM FILLED,80% MID WARM FILLED,SC89,Goose,,258.5,,,,,,,,,
KING - 80% MID WARM FILLED,80% MID WARM FILLED,SC90,Hungarian,,267,,,,,,,,,
SUPER KING - 80% MID WARM FILLED,80% MID WARM FILLED,SC91,Duck,,209.5,,,,,,,,,
SUPER KING - 80% MID WARM FILLED,80% MID WARM FILLED,SC92,Goose,,356,,,,,,,,,
SUPER KING - 80% MID WARM FILLED,80% MID WARM FILLED,SC93,Hungarian,,160,,,,,,,,,
SINGLE - 80% WINTER FILLED,80% WINTER FILLED,SC94,Duck,,$121.00,,,,,,,,,
SINGLE - 80% WINTER FILLED,80% WINTER FILLED,SC95,Goose,,$184.00,,,,,,,,,
DOUBLE - 80% WINTER FILLED,80% WINTER FILLED,SC96,Duck,,$140.00,,,,,,,,,
DOUBLE - 80% WINTER FILLED,80% WINTER FILLED,SC97,Goose,,$213.00,,,,,,,,,
QUEEN - 80% WINTER FILLED,80% WINTER FILLED,SC98,Duck,,$167.00,,,,,,,,,
QUEEN - 80% WINTER FILLED,80% WINTER FILLED,SC99,Goose,,$247.50,,,,,,,,,
KING - 80% WINTER FILLED,80% WINTER FILLED,SC100,Duck,,$189.00,,,,,,,,,
KING - 80% WINTER FILLED,80% WINTER FILLED,SC101,Goose,,$282.00,,,,,,,,,
SUPER KING - 80% WINTER FILLED,80% WINTER FILLED,SC102,Duck,,$265.50,,,,,,,,,
SUPER KING - 80% WINTER FILLED,80% WINTER FILLED,SC103,Goose,,$379.50,,,,,,,,,
SINGLE - 80% DUCK SUMMER FILLED,80% DUCK SUMMER FILLED,SC104,Duck,,$82.50,,,,,,,,,
DOUBLE - 80% DUCK SUMMER FILLED,80% DUCK SUMMER FILLED,SC105,Duck,,$93.50,,,,,,,,,
QUEEN - 80% DUCK SUMMER FILLED,80% DUCK SUMMER FILLED,SC106,Duck,,$109.50,,,,,,,,,
