Product Name,Category,,Filling,Weight, Customer Price ,,,,,,,,,,
KING 80% DUCK DOWN PILLOW,PIPED PILLOWS,BR79,80% Down 20% Feather,Duck,105.5,,,,,,,,,,
KING 80% GOOSE DOWN PILLOW,PIPED PILLOWS,BR80,80% Down 20% Feather,Goose,138,,,,,,,,,,
EURO 100% FEATHER PILLOW,PIPED PILLOWS,BR81,100% Feather,Duck,$29.00,,,,,,,,,,
EURO 30% DUCK DOWN PILLOW,PIPED PILLOWS,BR82,30% Down 70% Feather,Duck,59,,,,,,,,,,
EURO 50% DUCK DOWN PILLOW,PIPED PILLOWS,BR83,50% Down 50% Feather,Duck,64.5,,,,,,,,,,
EURO 80% DUCK DOWN PILLOW,PIPED PILLOWS,BR84,80% Down 20% Feather,Duck,$99.50,,,,,,,,,,
EURO 80% GOOSE DOWN PILLOW,PIPED PILLOWS,BR85,80% Down 20% Feather,Goose,$121.50,,,,,,,,,,
SINGLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,BR86,Duck,,157,,,,,,,,,,
SINGLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,BR87,Goose,,207,,,,,,,,,,
DOUBLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,BR88,Duck,,183,,,,,,,,,,
DOUBLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,BR89,Goose,,236,,,,,,,,,,
QUEEN - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,BR90,Duck,,214,,,,,,,,,,
QUEEN - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,BR91,Goose,,282,,,,,,,,,,
KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,BR92,Duck,,241,,,,,,,,,,
KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,BR93,Goose,,305,,,,,,,,,,
SUPER KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,BR94,Duck,,241.5,,,,,,,,,,
SUPER KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,BR95,Goose,,391,,,,,,,,,,
SINGLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,BR96,Duck,,$92.00,,,,,,,,,,
DOUBLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,BR97,Duck,,$103.50,,,,,,,,,,
QUEEN - 50% DUCK WINTER ,50% DUCK WINTER FILLED,BR98,Duck,,$121.00,,,,,,,,,,
KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,BR99,Duck,,$138.00,,,,,,,,,,
SUPER KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,BR100,Duck,,$167.00,,,,,,,,,,
SINGLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,BR101,Duck,,$80.50,,,,,,,,,,
DOUBLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,BR102,Duck,,$92.00,,,,,,,,,,
QUEEN - 50% DUCK DOWN MID WARM ,50% MID WARM FILLED,BR103,Duck,,$109.50,,,,,,,,,,
KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,BR104,Duck,,$121.00,,,,,,,,,,
