Product Name,Category,SKU,Filling,Weight,Customer Price,,,
30X55CM,INSERTS,JB31,Duck Feather - Fibre,Normal,$16.00,,,
30X55CM,INSERTS,JB32,Duck Feather - Fibre,Firm Fill,16.6,,,
30X55CM,INSERTS,JB33,Duck Feather - Fibre,Extra Firm Fill,17.2,,,
30X55CM,INSERTS,JB34,100% Polyester,Normal,$16.00,,,
30X55CM,INSERTS,JB35,100% Polyester,Firm Fill,16.6,,,
30X55CM,INSERTS,JB36,100% Polyester,Extra Firm Fill,17.2,,,
30X55CM,INSERTS,JB37,30% Down 70% Feather,Normal,$27.50,,,
30X55CM,INSERTS,JB38,30% Down 70% Feather,Firm Fill,30.1,,,
30X55CM,INSERTS,JB39,30% Down 70% Feather,Extra Firm Fill,32.7,,,
30X55CM,INSERTS,JB40,50% Down 50% Feather,Normal,$36.80,,,
30X55CM,INSERTS,JB41,50% Down 50% Feather,Firm Fill,39.4,,,
30X55CM,INSERTS,JB42,50% Down 50% Feather,Extra Firm Fill,42,,,
30X55CM,INSERTS,JB43,80% Down 20% Feather,Normal,$52.50,,,
30X55CM,INSERTS,JB44,80% Down 20% Feather,Firm Fill,55.1,,,
30X55CM,INSERTS,JB45,80% Down 20% Feather,Extra Firm Fill,57.7,,,
40X40CM,INSERTS,JB46,100% Feather,Normal,$9.20,,,
40X40CM,INSERTS,JB47,100% Feather,Extra Firm Fill,9.8,,,
40X40CM,INSERTS,JB48,Duck Feather - Foam,Normal,$11.00,,,
40X40CM,INSERTS,JB49,Duck Feather - Foam,Firm Fill,11.6,,,
40X40CM,INSERTS,JB50,Duck Feather - Foam,Extra Firm Fill,12.2,,,
40X40CM,INSERTS,JB51,Duck Feather - Fibre,Normal,$11.00,,,
40X40CM,INSERTS,JB52,Duck Feather - Fibre,Firm Fill,11.6,,,
40X40CM,INSERTS,JB53,Duck Feather - Fibre,Extra Firm Fill,12.2,,,
40X40CM,INSERTS,JB54,100% Polyester,Normal,$11.00,,,
40X40CM,INSERTS,JB55,100% Polyester,Firm Fill,11.6,,,
40X40CM,INSERTS,JB56,100% Polyester,Extra Firm Fill,12.2,,,
40X40CM,INSERTS,JB57,30% Down 70% Feather,Normal,$19.00,,,
40X40CM,INSERTS,JB58,30% Down 70% Feather,Firm Fill,21.6,,,
40X40CM,INSERTS,JB59,30% Down 70% Feather,Extra Firm Fill,24.2,,,
40X40CM,INSERTS,JB60,50% Down 50% Feather,Normal,$27.00,,,
40X40CM,INSERTS,JB61,50% Down 50% Feather,Firm Fill,29.6,,,
40X40CM,INSERTS,JB62,50% Down 50% Feather,Extra Firm Fill,32.2,,,
40X40CM,INSERTS,JB63,80% Down 20% Feather,Normal,$44.00,,,
40X40CM,INSERTS,JB64,80% Down 20% Feather,Firm Fill,46.6,,,
40X40CM,INSERTS,JB65,80% Down 20% Feather,Extra Firm Fill,49.2,,,
45X45CM,INSERTS,JB66,100% Feather,Normal,$10.50,,,
45X45CM,INSERTS,JB67,100% Feather,Extra Firm Fill,11.1,,,
45X45CM,INSERTS,JB68,Duck Feather - Foam,Normal,$12.00,,,
45X45CM,INSERTS,JB69,Duck Feather - Foam,Firm Fill,12.6,,,
45X45CM,INSERTS,JB70,Duck Feather - Foam,Extra Firm Fill,13.2,,,
45X45CM,INSERTS,JB71,Duck Feather - Fibre,Normal,$12.00,,,
45X45CM,INSERTS,JB72,Duck Feather - Fibre,Firm Fill,12.6,,,
45X45CM,INSERTS,JB73,Duck Feather - Fibre,Extra Firm Fill,13.2,,,
45X45CM,INSERTS,JB74,100% Polyester,Normal,$12.00,,,
45X45CM,INSERTS,JB75,100% Polyester,Firm Fill,12.6,,,
45X45CM,INSERTS,JB76,100% Polyester,Extra Firm Fill,13.2,,,
45X45CM,INSERTS,JB77,30% Down 70% Feather,Normal,$23.50,,,
45X45CM,INSERTS,JB78,30% Down 70% Feather,Firm Fill,26.1,,,
45X45CM,INSERTS,JB79,30% Down 70% Feather,Extra Firm Fill,28.7,,,
