Product Name	Category	SKU	Filling	Weight	Customer Price
40X40CM	INSERTS	MW88	100% Polyester	Normal	$11.00
40X40CM	INSERTS	MW89	100% Polyester	Firm Fill	11.6
40X40CM	INSERTS	MW90	100% Polyester	Extra Firm Fill	12.2
40X40CM	INSERTS	MW91	30% Down 70% Feather	Normal	$19.00
40X40CM	INSERTS	MW92	30% Down 70% Feather	Firm Fill	21.6
40X40CM	INSERTS	MW93	30% Down 70% Feather	Extra Firm Fill	24.2
40X40CM	INSERTS	MW94	50% Down 50% Feather	Normal	$27.00
40X40CM	INSERTS	MW95	50% Down 50% Feather	Firm Fill	29.6
40X40CM	INSERTS	MW96	50% Down 50% Feather	Extra Firm Fill	32.2
40X40CM	INSERTS	MW97	80% Down 20% Feather	Normal	$44.00
40X40CM	INSERTS	MW98	80% Down 20% Feather	Firm Fill	46.6
40X40CM	INSERTS	MW99	80% Down 20% Feather	Extra Firm Fill	49.2
45X45CM	INSERTS	MW100	100% Feather	Normal	$10.50
45X45CM	INSERTS	MW101	100% Feather	Firm Fill	11.1
45X45CM	INSERTS	MW102	100% Feather	Extra Firm Fill	11.7
45X45CM	INSERTS	MW103	Duck Feather - Foam	Normal	$12.00
45X45CM	INSERTS	MW104	Duck Feather - Foam	Firm Fill	12.6
45X45CM	INSERTS	MW105	Duck Feather - Foam	Extra Firm Fill	13.2
45X45CM	INSERTS	MW106	Duck Feather - Fibre	Normal	$12.00
45X45CM	INSERTS	MW107	Duck Feather - Fibre	Firm Fill	12.6
45X45CM	INSERTS	MW108	Duck Feather - Fibre	Extra Firm Fill	13.2
45X45CM	INSERTS	MW109	100% Polyester	Normal	$12.00
45X45CM	INSERTS	MW110	100% Polyester	Firm Fill	12.6
45X45CM	INSERTS	MW111	100% Polyester	Extra Firm Fill	13.2
45X45CM	INSERTS	MW112	30% Down 70% Feather	Normal	$23.50
45X45CM	INSERTS	MW113	30% Down 70% Feather	Firm Fill	26.1
45X45CM	INSERTS	MW114	30% Down 70% Feather	Extra Firm Fill	28.7
45X45CM	INSERTS	MW115	50% Down 50% Feather	Normal	$32.80
45X45CM	INSERTS	MW116	50% Down 50% Feather	Firm Fill	35.4
45X45CM	INSERTS	MW117	50% Down 50% Feather	Extra Firm Fill	38
45X45CM	INSERTS	MW118	80% Down 20% Feather	Normal	$48.50
45X45CM	INSERTS	MW119	80% Down 20% Feather	Firm Fill	51.1
45X45CM	INSERTS	MW120	80% Down 20% Feather	Extra Firm Fill	53.7
40X80CM	INSERTS	MW121	100% Feather	Normal	$19.00
40X80CM	INSERTS	MW122	100% Feather	Firm Fill	19.6
40X80CM	INSERTS	MW123	100% Feather	Extra Firm Fill	20.2
40X80CM	INSERTS	MW124	Duck Feather - Foam	Normal	$21.25
40X80CM	INSERTS	MW125	Duck Feather - Foam	Firm Fill	21.85
40X80CM	INSERTS	MW126	Duck Feather - Foam	Extra Firm Fill	22.45
40X80CM	INSERTS	MW127	Duck Feather - Fibre	Normal	$21.25
40X80CM	INSERTS	MW128	Duck Feather - Fibre	Firm Fill	21.85
40X80CM	INSERTS	MW129	Duck Feather - Fibre	Extra Firm Fill	22.45
40X80CM	INSERTS	MW130	100% Polyester	Normal	$21.25
40X80CM	INSERTS	MW131	100% Polyester	Firm Fill	21.85
40X80CM	INSERTS	MW132	100% Polyester	Extra Firm Fill	22.45
40X80CM	INSERTS	MW133	30% Down 70% Feather	Normal	$43.00
40X80CM	INSERTS	MW134	30% Down 70% Feather	Firm Fill	45.6
40X80CM	INSERTS	MW135	30% Down 70% Feather	Extra Firm Fill	48.2
40X80CM	INSERTS	MW136	50% Down 50% Feather	Normal	$68.40
40X80CM	INSERTS	MW137	50% Down 50% Feather	Firm Fill	71
40X80CM	INSERTS	MW138	50% Down 50% Feather	Extra Firm Fill	73.6
40X80CM	INSERTS	MW139	80% Down 20% Feather	Normal	$83.00
40X80CM	INSERTS	MW140	80% Down 20% Feather	Firm Fill	85.6
40X80CM	INSERTS	MW141	80% Down 20% Feather	Extra Firm Fill	88.2
45X70CM	INSERTS	MW142	100% Feather	Normal	$17.65
45X70CM	INSERTS	MW143	100% Feather	Firm Fill	18.25
45X70CM	INSERTS	MW144	100% Feather	Extra Firm Fill	18.85
45X70CM	INSERTS	MW145	Duck Feather - Foam	Normal	$20.00
45X70CM	INSERTS	MW146	Duck Feather - Foam	Firm Fill	20.6
45X70CM	INSERTS	MW147	Duck Feather - Foam	Extra Firm Fill	21.2
45X70CM	INSERTS	MW148	Duck Feather - Fibre	Normal	$20.00
45X70CM	INSERTS	MW149	Duck Feather - Fibre	Firm Fill	20.6
45X70CM	INSERTS	MW150	Duck Feather - Fibre	Extra Firm Fill	21.2
45X70CM	INSERTS	MW151	100% Polyester	Normal	$20.00
45X70CM	INSERTS	MW152	100% Polyester	Firm Fill	20.6
45X70CM	INSERTS	MW153	100% Polyester	Extra Firm Fill	21.2
45X70CM	INSERTS	MW154	30% Down 70% Feather	Normal	$36.70
45X70CM	INSERTS	MW155	30% Down 70% Feather	Firm Fill	39.3
45X70CM	INSERTS	MW156	30% Down 70% Feather	Extra Firm Fill	41.9
45X70CM	INSERTS	MW157	50% Down 50% Feather	Normal	$52.15
45X70CM	INSERTS	MW158	50% Down 50% Feather	Firm Fill	54.75
45X70CM	INSERTS	MW159	50% Down 50% Feather	Extra Firm Fill	57.35
45X70CM	INSERTS	MW160	80% Down 20% Feather	Normal	$73.00
45X70CM	INSERTS	MW161	80% Down 20% Feather	Firm Fill	75.6
45X70CM	INSERTS	MW162	80% Down 20% Feather	Extra Firm Fill	78.2
50X110CM	INSERTS	MW163	100% Feather	Normal	$50.00
50X110CM	INSERTS	MW164	100% Feather	Firm Fill	$50.60
50X110CM	INSERTS	MW165	100% Feather	Extra Firm Fill	$51.80
50X110CM	INSERTS	MW166	Duck Feather - Foam	Normal	$50.00
50X110CM	INSERTS	MW167	Duck Feather - Foam	Firm Fill	$50.60
50X110CM	INSERTS	MW168	Duck Feather - Foam	Extra Firm Fill	$51.20
50X110CM	INSERTS	MW169	Duck Feather - Fibre	Normal	$50.00
50X110CM	INSERTS	MW170	Duck Feather - Fibre	Firm Fill	$50.60
50X110CM	INSERTS	MW171	Duck Feather - Fibre	Extra Firm Fill	$51.20
50X110CM	INSERTS	MW172	100% Polyester	Normal	$46.00
50X110CM	INSERTS	MW173	100% Polyester	Firm Fill	$46.60
50X110CM	INSERTS	MW174	100% Polyester	Extra Firm Fill	$47.20
50X110CM	INSERTS	MW175	30% Down 70% Feather	Normal	$95.00
50X110CM	INSERTS	MW176	30% Down 70% Feather	Firm Fill	$96.00
50X110CM	INSERTS	MW177	30% Down 70% Feather	Extra Firm Fill	96.6
50X110CM	INSERTS	MW178	50% Down 50% Feather	Normal	$113.25
50X110CM	INSERTS	MW179	50% Down 50% Feather	Firm Fill	$114.25
50X110CM	INSERTS	MW180	50% Down 50% Feather	Extra Firm Fill	$114.85
50X110CM	INSERTS	MW181	80% Down 20% Feather	Normal	$136.25
50X110CM	INSERTS	MW182	80% Down 20% Feather	Firm Fill	$137.25
50X110CM	INSERTS	MW183	80% Down 20% Feather	Extra Firm Fill	$137.85
50X30CM	INSERTS	MW184	100% Feather	Normal	$13.20
50X30CM	INSERTS	MW185	100% Feather	Firm Fill	13.8
50X30CM	INSERTS	MW186	100% Feather	Extra Firm Fill	14.4
50X30CM	INSERTS	MW187	Duck Feather - Foam	Normal	$15.00
50X30CM	INSERTS	MW188	Duck Feather - Foam	Firm Fill	15.6
50X30CM	INSERTS	MW189	Duck Feather - Foam	Extra Firm Fill	16.2
50X30CM	INSERTS	MW190	Duck Feather - Fibre	Normal	$15.00
50X30CM	INSERTS	MW191	Duck Feather - Fibre	Firm Fill	15.6
50X30CM	INSERTS	MW192	Duck Feather - Fibre	Extra Firm Fill	16.2
50X30CM	INSERTS	MW193	100% Polyester	Normal	$15.00
