Product Name,SKU,Category,Filling,Weight, Customer Price 
40X40CM,INSE-002,INSERTS,50% Down 50% Feather,Extra Firm Fill,$32.20 
40X40CM,INSE-002,INSERTS,80% Down 20% Feather,Normal,$44.00 
40X40CM,INSE-002,INSERTS,80% Down 20% Feather,Firm Fill,$46.60 
40X40CM,INSE-002,INSERTS,80% Down 20% Feather,Extra Firm Fill,$49.20 
45X45CM ,INSE-003,INSERTS,100% Feather,Normal,$10.50 
45X45CM ,INSE-003,INSERTS,100% Feather,Firm Fill,$11.10 
45X45CM ,INSE-003,INSERTS,100% Feather,Extra Firm Fill,$11.70 
45X45CM ,INSE-003,INSERTS,Duck Feather - Foam,Normal,$12.00 
45X45CM ,INSE-003,INSERTS,Duck Feather - Foam,Firm Fill,$12.60 
45X45CM ,INSE-003,INSERTS,Duck Feather - Foam,Extra Firm Fill,$13.20 
45X45CM ,INSE-003,INSERTS,Duck Feather - Fibre,Normal,$12.00 
45X45CM ,INSE-003,INSERTS,Duck Feather - Fibre,Firm Fill,$12.60 
45X45CM ,INSE-003,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$13.20 
45X45CM ,INSE-003,INSERTS,100% Polyester,Normal,$12.00 
45X45CM ,INSE-003,INSERTS,100% Polyester,Firm Fill,$12.60 
45X45CM ,INSE-003,INSERTS,100% Polyester,Extra Firm Fill,$13.20 
45X45CM ,INSE-003,INSERTS,30% Down 70% Feather,Normal,$23.50 
45X45CM ,INSE-003,INSERTS,30% Down 70% Feather,Firm Fill,$26.10 
45X45CM ,INSE-003,INSERTS,30% Down 70% Feather,Extra Firm Fill,$28.70 
45X45CM ,INSE-003,INSERTS,50% Down 50% Feather,Normal,$32.80 
45X45CM ,INSE-003,INSERTS,50% Down 50% Feather,Firm Fill,$35.40 
45X45CM ,INSE-003,INSERTS,50% Down 50% Feather,Extra Firm Fill,$38.00 
45X45CM ,INSE-003,INSERTS,80% Down 20% Feather,Normal,$48.50 
45X45CM ,INSE-003,INSERTS,80% Down 20% Feather,Firm Fill,$51.10 
45X45CM ,INSE-003,INSERTS,80% Down 20% Feather,Extra Firm Fill,$53.70 
40X80CM,INSE-004,INSERTS,100% Feather,Normal,$19.00 
40X80CM,INSE-004,INSERTS,100% Feather,Firm Fill,$19.60 
40X80CM,INSE-004,INSERTS,100% Feather,Extra Firm Fill,$20.20 
40X80CM,INSE-004,INSERTS,Duck Feather - Foam,Normal,$21.25 
40X80CM,INSE-004,INSERTS,Duck Feather - Foam,Firm Fill,$21.85 
40X80CM,INSE-004,INSERTS,Duck Feather - Foam,Extra Firm Fill,$22.45 
40X80CM,INSE-004,INSERTS,Duck Feather - Fibre,Normal,$21.25 
40X80CM,INSE-004,INSERTS,Duck Feather - Fibre,Firm Fill,$21.85 
40X80CM,INSE-004,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$22.45 
40X80CM,INSE-004,INSERTS,100% Polyester,Normal,$21.25 
40X80CM,INSE-004,INSERTS,100% Polyester,Firm Fill,$21.85 
40X80CM,INSE-004,INSERTS,100% Polyester,Extra Firm Fill,$22.45 
40X80CM,INSE-004,INSERTS,30% Down 70% Feather,Normal,$43.00 
40X80CM,INSE-004,INSERTS,30% Down 70% Feather,Firm Fill,$45.60 
40X80CM,INSE-004,INSERTS,30% Down 70% Feather,Extra Firm Fill,$48.20 
40X80CM,INSE-004,INSERTS,50% Down 50% Feather,Normal,$68.40 
40X80CM,INSE-004,INSERTS,50% Down 50% Feather,Firm Fill,$71.00 
40X80CM,INSE-004,INSERTS,50% Down 50% Feather,Extra Firm Fill,$73.60 
40X80CM,INSE-004,INSERTS,80% Down 20% Feather,Normal,$83.00 
40X80CM,INSE-004,INSERTS,80% Down 20% Feather,Firm Fill,$85.60 
40X80CM,INSE-004,INSERTS,80% Down 20% Feather,Extra Firm Fill,$88.20 
45X70CM,INSE-005,INSERTS,100% Feather,Normal,$17.65 
45X70CM,INSE-005,INSERTS,100% Feather,Firm Fill,$18.25 
45X70CM,INSE-005,INSERTS,100% Feather,Extra Firm Fill,$18.85 
45X70CM,INSE-005,INSERTS,Duck Feather - Foam,Normal,$20.00 
45X70CM,INSE-005,INSERTS,Duck Feather - Foam,Firm Fill,$20.60 
45X70CM,INSE-005,INSERTS,Duck Feather - Foam,Extra Firm Fill,$21.20 
45X70CM,INSE-005,INSERTS,Duck Feather - Fibre,Normal,$20.00 
45X70CM,INSE-005,INSERTS,Duck Feather - Fibre,Firm Fill,$20.60 
45X70CM,INSE-005,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$21.20 
45X70CM,INSE-005,INSERTS,100% Polyester,Normal,$20.00 
45X70CM,INSE-005,INSERTS,100% Polyester,Firm Fill,$20.60 
45X70CM,INSE-005,INSERTS,100% Polyester,Extra Firm Fill,$21.20 
45X70CM,INSE-005,INSERTS,30% Down 70% Feather,Normal,$36.70 
45X70CM,INSE-005,INSERTS,30% Down 70% Feather,Firm Fill,$39.30 
45X70CM,INSE-005,INSERTS,30% Down 70% Feather,Extra Firm Fill,$41.90 
45X70CM,INSE-005,INSERTS,50% Down 50% Feather,Normal,$52.15 
45X70CM,INSE-005,INSERTS,50% Down 50% Feather,Firm Fill,$54.75 
45X70CM,INSE-005,INSERTS,50% Down 50% Feather,Extra Firm Fill,$57.35 
45X70CM,INSE-005,INSERTS,80% Down 20% Feather,Normal,$73.00 
45X70CM,INSE-005,INSERTS,80% Down 20% Feather,Firm Fill,$75.60 
45X70CM,INSE-005,INSERTS,80% Down 20% Feather,Extra Firm Fill,$78.20 
50X110CM,INSE-006,INSERTS,100% Feather,Normal,$46.00 
50X110CM,INSE-006,INSERTS,100% Feather,Firm Fill,$46.60 
