Product Name,Category,Sku,Filling,Weight, Customer Price ,,
30X55CM,INSERTS,INTERIOR - 35,50% Down 50% Feather,Normal,$27.50,,
30X55CM,INSERTS,INTERIOR - 36,50% Down 50% Feather,Firm Fill,$30.10,,
30X55CM,INSERTS,INTERIOR - 37,50% Down 50% Feather,Extra Firm Fill,$32.70,,
30X55CM,INSERTS,INTERIOR - 38,80% Down 20% Feather,Normal,$36.80,,
30X55CM,INSERTS,INTERIOR - 39,80% Down 20% Feather,Firm Fill,$39.40,,
30X55CM,INSERTS,INTERIOR - 40,80% Down 20% Feather,Extra Firm Fill,$42.00,,
40X40CM,INSERTS,INTERIOR - 41,100% Feather,Normal,$9.20,,
40X40CM,INSERTS,INTERIOR - 42,100% Feather,Firm Fill,$9.80,,
40X40CM,INSERTS,INTERIOR - 43,100% Feather,Extra Firm Fill,$10.40,,
40X40CM,INSERTS,INTERIOR - 44,Duck Feather - Foam,Normal,$11.00,,
40X40CM,INSERTS,INTERIOR - 45,Duck Feather - Foam,Firm Fill,$11.60,,
40X40CM,INSERTS,INTERIOR - 46,Duck Feather - Foam,Extra Firm Fill,$12.20,,
40X40CM,INSERTS,INTERIOR - 47,Duck Feather - Fibre,Normal,$11.00,,
40X40CM,INSERTS,INTERIOR - 48,Duck Feather - Fibre,Firm Fill,$11.60,,
40X40CM,INSERTS,INTERIOR - 49,Duck Feather - Fibre,Extra Firm Fill,$12.20,,
40X40CM,INSERTS,INTERIOR - 50,100% Polyester,Normal,$11.00,,
40X40CM,INSERTS,INTERIOR - 51,100% Polyester,Firm Fill,$11.60,,
40X40CM,INSERTS,INTERIOR - 52,100% Polyester,Extra Firm Fill,$12.20,,
40X40CM,INSERTS,INTERIOR - 53,30% Down 70% Feather,Normal,$19.00,,
40X40CM,INSERTS,INTERIOR - 54,30% Down 70% Feather,Firm Fill,$21.60,,
40X40CM,INSERTS,INTERIOR - 55,30% Down 70% Feather,Extra Firm Fill,$24.20,,
40X40CM,INSERTS,INTERIOR - 56,50% Down 50% Feather,Normal,$27.00,,
40X40CM,INSERTS,INTERIOR - 57,50% Down 50% Feather,Firm Fill,$29.60,,
40X40CM,INSERTS,INTERIOR - 58,50% Down 50% Feather,Extra Firm Fill,$32.20,,
40X40CM,INSERTS,INTERIOR - 59,80% Down 20% Feather,Normal,$44.00,,
40X40CM,INSERTS,INTERIOR - 60,80% Down 20% Feather,Firm Fill,$46.60,,
40X40CM,INSERTS,INTERIOR - 61,80% Down 20% Feather,Extra Firm Fill,$49.20,,
45X45CM,INSERTS,INTERIOR - 62,100% Feather,Normal,$10.50,,
45X45CM,INSERTS,INTERIOR - 63,100% Feather,Firm Fill,$11.10,,
45X45CM,INSERTS,INTERIOR - 64,100% Feather,Extra Firm Fill,$11.70,,
45X45CM,INSERTS,INTERIOR - 65,Duck Feather - Foam,Normal,$12.00,,
45X45CM,INSERTS,INTERIOR - 66,Duck Feather - Foam,Firm Fill,$12.60,,
45X45CM,INSERTS,INTERIOR - 67,Duck Feather - Foam,Extra Firm Fill,$13.20,,
45X45CM,INSERTS,INTERIOR - 68,Duck Feather - Fibre,Normal,$12.00,,
45X45CM,INSERTS,INTERIOR - 69,Duck Feather - Fibre,Firm Fill,$12.60,,
45X45CM,INSERTS,INTERIOR - 70,Duck Feather - Fibre,Extra Firm Fill,$13.20,,
45X45CM,INSERTS,INTERIOR - 71,100% Polyester,Normal,$12.00,,
45X45CM,INSERTS,INTERIOR - 72,100% Polyester,Firm Fill,$12.60,,
45X45CM,INSERTS,INTERIOR - 73,100% Polyester,Extra Firm Fill,$13.20,,
45X45CM,INSERTS,INTERIOR - 74,30% Down 70% Feather,Normal,$23.50,,
45X45CM,INSERTS,INTERIOR - 75,30% Down 70% Feather,Firm Fill,$26.10,,
45X45CM,INSERTS,INTERIOR - 76,30% Down 70% Feather,Extra Firm Fill,$28.70,,
45X45CM,INSERTS,INTERIOR - 77,50% Down 50% Feather,Normal,$32.80,,
45X45CM,INSERTS,INTERIOR - 78,50% Down 50% Feather,Firm Fill,$35.40,,
45X45CM,INSERTS,INTERIOR - 79,50% Down 50% Feather,Extra Firm Fill,$38.00,,
45X45CM,INSERTS,INTERIOR - 80,80% Down 20% Feather,Normal,$48.50,,
45X45CM,INSERTS,INTERIOR - 81,80% Down 20% Feather,Firm Fill,$51.10,,
45X45CM,INSERTS,INTERIOR - 82,80% Down 20% Feather,Extra Firm Fill,$53.70,,
40X80CM,INSERTS,INTERIOR - 83,100% Feather,Normal,$19.00,,
40X80CM,INSERTS,INTERIOR - 84,100% Feather,Firm Fill,$19.60,,
40X80CM,INSERTS,INTERIOR - 85,100% Feather,Extra Firm Fill,$20.20,,
40X80CM,INSERTS,INTERIOR - 86,Duck Feather - Foam,Normal,$21.25,,
40X80CM,INSERTS,INTERIOR - 87,Duck Feather - Foam,Firm Fill,$21.85,,
40X80CM,INSERTS,INTERIOR - 88,Duck Feather - Foam,Extra Firm Fill,$22.45,,
40X80CM,INSERTS,INTERIOR - 89,Duck Feather - Fibre,Normal,$21.25,,
40X80CM,INSERTS,INTERIOR - 90,Duck Feather - Fibre,Firm Fill,$21.85,,
40X80CM,INSERTS,INTERIOR - 91,Duck Feather - Fibre,Extra Firm Fill,$22.45,,
40X80CM,INSERTS,INTERIOR - 92,100% Polyester,Normal,$21.25,,
40X80CM,INSERTS,INTERIOR - 93,100% Polyester,Firm Fill,$21.85,,
40X80CM,INSERTS,INTERIOR - 94,100% Polyester,Extra Firm Fill,$22.45,,
40X80CM,INSERTS,INTERIOR - 95,30% Down 70% Feather,Normal,$43.00,,
40X80CM,INSERTS,INTERIOR - 96,30% Down 70% Feather,Firm Fill,$45.60,,
40X80CM,INSERTS,INTERIOR - 97,30% Down 70% Feather,Extra Firm Fill,$48.20,,
40X80CM,INSERTS,INTERIOR - 98,50% Down 50% Feather,Normal,$68.40,,
40X80CM,INSERTS,INTERIOR - 99,50% Down 50% Feather,Firm Fill,$71.00,,
40X80CM,INSERTS,INTERIOR - 100,50% Down 50% Feather,Extra Firm Fill,$73.60,,
40X80CM,INSERTS,INTERIOR - 101,80% Down 20% Feather,Normal,$83.00,,
40X80CM,INSERTS,INTERIOR - 102,80% Down 20% Feather,Firm Fill,$85.60,,
40X80CM,INSERTS,INTERIOR - 103,80% Down 20% Feather,Extra Firm Fill,$88.20,,
45X70CM,INSERTS,INTERIOR - 104,100% Feather,Normal,$17.65,,
45X70CM,INSERTS,INTERIOR - 105,100% Feather,Firm Fill,$18.25,,
45X70CM,INSERTS,INTERIOR - 106,100% Feather,Extra Firm Fill,$18.85,,
45X70CM,INSERTS,INTERIOR - 107,Duck Feather - Foam,Normal,$20.00,,
