Product Name,SKU,Category,Filling,Weight, Customer Price ,,,,,,,,
50X30CM - (53X33CM),INSTERS-134,INSERTS,100% Polyester,Firm Fill,$15.60,,,,,,,,
50X30CM - (53X33CM),INSTERS-135,INSERTS,100% Polyester,Extra Firm Fill,$16.20,,,,,,,,
50X30CM - (53X33CM),INSTERS-136,INSERTS,30% Down 70% Feather,Normal,$23.00,,,,,,,,
50X30CM - (53X33CM),INSTERS-137,INSERTS,30% Down 70% Feather,Firm Fill,$25.60,,,,,,,,
50X30CM - (53X33CM),INSTERS-138,INSERTS,30% Down 70% Feather,Extra Firm Fill,$28.20,,,,,,,,
50X30CM - (53X33CM),INSTERS-139,INSERTS,50% Down 50% Feather,Normal,$31.00,,,,,,,,
50X30CM - (53X33CM),INSTERS-140,INSERTS,50% Down 50% Feather,Firm Fill,$33.60,,,,,,,,
50X30CM - (53X33CM),INSTERS-141,INSERTS,50% Down 50% Feather,Extra Firm Fill,$36.20,,,,,,,,
50X30CM - (53X33CM),INSTERS-142,INSERTS,80% Down 20% Feather,Normal,$48.00,,,,,,,,
50X30CM - (53X33CM),INSTERS-143,INSERTS,80% Down 20% Feather,Firm Fill,$50.60,,,,,,,,
50X30CM - (53X33CM),INSTERS-144,INSERTS,80% Down 20% Feather,Extra Firm Fill,$53.20,,,,,,,,
50X50CM - (53X53CM),INSTERS-145,INSERTS,100% Feather,Normal,$11.50,,,,,,,,
50X50CM - (53X53CM),INSTERS-146,INSERTS,100% Feather,Firm Fill,$12.10,,,,,,,,
50X50CM - (53X53CM),INSTERS-147,INSERTS,100% Feather,Extra Firm Fill,$12.70,,,,,,,,
50X50CM - (53X53CM),INSTERS-148,INSERTS,Duck Feather - Foam,Normal,$13.50,,,,,,,,
50X50CM - (53X53CM),INSTERS-149,INSERTS,Duck Feather - Foam,Firm Fill,$14.10,,,,,,,,
50X50CM - (53X53CM),INSTERS-150,INSERTS,Duck Feather - Foam,Extra Firm Fill,$14.70,,,,,,,,
50X50CM - (53X53CM),INSTERS-151,INSERTS,Duck Feather - Fibre,Normal,$13.50,,,,,,,,
50X50CM - (53X53CM),INSTERS-152,INSERTS,Duck Feather - Fibre,Firm Fill,$14.10,,,,,,,,
50X50CM - (53X53CM),INSTERS-153,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$14.70,,,,,,,,
50X50CM - (53X53CM),INSTERS-154,INSERTS,100% Polyester,Normal,$13.50,,,,,,,,
50X50CM - (53X53CM),INSTERS-155,INSERTS,100% Polyester,Firm Fill,$14.10,,,,,,,,
50X50CM - (53X53CM),INSTERS-156,INSERTS,100% Polyester,Extra Firm Fill,$14.70,,,,,,,,
50X50CM - (53X53CM),INSTERS-157,INSERTS,30% Down 70% Feather,Normal,$26.50,,,,,,,,
50X50CM - (53X53CM),INSTERS-158,INSERTS,30% Down 70% Feather,Firm Fill,$29.10,,,,,,,,
50X50CM - (53X53CM),INSTERS-159,INSERTS,30% Down 70% Feather,Extra Firm Fill,$31.70,,,,,,,,
50X50CM - (53X53CM),INSTERS-160,INSERTS,50% Down 50% Feather,Normal,$45.00,,,,,,,,
50X50CM - (53X53CM),INSTERS-161,INSERTS,50% Down 50% Feather,Firm Fill,$47.60,,,,,,,,
