Product Name,Category,Sku,Filling,Weight, Customer Price 
SUPER KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,CASTLE114,Goose,,$274.00
STANDARD CHAMBER PILLOW - 80% DUCK DOWN,CHAMBER PILLOW,CASTLE115,Duck,,46
KING 80% CHAMBER PILLOW,CHAMBER PILLOW,CASTLE116,Duck,,
STANDARD CHAMBER PILLOW - 50% DUCK DOWN,CHAMBER PILLOW,CASTLE117,Duck,,37
KING 50% CHAMBER PILLOW,CHAMBER PILLOW,CASTLE118,Duck,,
STANDARD 80% HUNGARIAN PILLOW,STRIP PILLOW,CASTLE119,Hungarian,,123.5
KING 80% HUNGARIAN PILLOW,STRIP PILLOW,CASTLE120,Hungarian,,
SINGLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,CASTLE121,Hungarian,,$201.50
DOUBLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,CASTLE122,Hungarian,,$251.00
QUEEN - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,CASTLE123,Hungarian,,$294.00
KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,CASTLE124,Hungarian,,$345.00
SUPER KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,CASTLE125,Hungarian,,$437.00
Double/Queen 230 x 240cms 450gms - SILVER BLANKET,SILVER BLANKET,CASTLE126,Silver Blanket,,$70.00
King/Super King 270 x 240cms 535 gms - SILVER BLANKET,SILVER BLANKET,CASTLE127,Silver Blanket,,$81.00
Single/ King Single 180 x 230gms 300gms - SILVER BLANKET,SILVER BLANKET,CASTLE128,Silver Blanket,,$56.00
Double/Queen 230 x 240cms 450gms - KHAKI BLANKET,KHAKI BLANKET,CASTLE129,Khaki Blanket,,$70.00
King/Super King 270 x 240cms 535 gms - KHAKI BLANKET,KHAKI BLANKET,CASTLE130,Khaki Blanket,,$81.00
Single/ King Single 180 x 230gms 300gms - KHAKI BLANKET,KHAKI BLANKET,CASTLE131,Khaki Blanket,,$56.00
EXTRA LARGE - MEN JACKET,JACKETS,CASTLE132,JACKETS,,
LARGE - MEN JACKET,JACKETS,CASTLE133,JACKETS,,
MEDIUM - MEN JACKET,JACKETS,CASTLE134,JACKETS,,
SMALL - MEN JACKET,JACKETS,CASTLE135,JACKETS,,
EXTRA LARGE - WOMAN JACKET,JACKETS,CASTLE136,JACKETS,,
LARGE - WOMAN JACKET,JACKETS,CASTLE137,JACKETS,,
MEDIUM - WOMAN JACKET,JACKETS,CASTLE138,JACKETS,,
SMALL - WOMAN JACKET,JACKETS,CASTLE139,JACKETS,,
