Product Name,SKU,Category,Category,Filling,Weight,
55X55CM ,INSE-011,INSERTS,INSERTS,50% Down 50% Feather,Normal,
55X55CM ,INSE-011,INSERTS,INSERTS,50% Down 50% Feather,Firm Fill,
55X55CM ,INSE-011,INSERTS,INSERTS,50% Down 50% Feather,Extra Firm Fill,
55X55CM ,INSE-011,INSERTS,INSERTS,80% Down 20% Feather,Normal,
55X55CM ,INSE-011,INSERTS,INSERTS,80% Down 20% Feather,Firm Fill,
55X55CM ,INSE-011,INSERTS,INSERTS,80% Down 20% Feather,Extra Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,100% Feather,Normal,
60X40CM ,INSE-012,INSERTS,INSERTS,100% Feather,Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,100% Feather,Extra Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,Duck Feather - Foam,Normal,
60X40CM ,INSE-012,INSERTS,INSERTS,Duck Feather - Foam,Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,Duck Feather - Foam,Extra Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,Duck Feather - Fibre,Normal,
60X40CM ,INSE-012,INSERTS,INSERTS,Duck Feather - Fibre,Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,100% Polyester,Normal,
60X40CM ,INSE-012,INSERTS,INSERTS,100% Polyester,Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,100% Polyester,Extra Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,30% Down 70% Feather,Normal,
60X40CM ,INSE-012,INSERTS,INSERTS,30% Down 70% Feather,Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,30% Down 70% Feather,Extra Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,50% Down 50% Feather,Normal,
60X40CM ,INSE-012,INSERTS,INSERTS,50% Down 50% Feather,Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,50% Down 50% Feather,Extra Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,80% Down 20% Feather,Normal,
60X40CM ,INSE-012,INSERTS,INSERTS,80% Down 20% Feather,Firm Fill,
60X40CM ,INSE-012,INSERTS,INSERTS,80% Down 20% Feather,Extra Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,100% Feather,Normal,
60X60CM ,INSE-013,INSERTS,INSERTS,100% Feather,Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,100% Feather,Extra Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,Duck Feather - Foam,Normal,
60X60CM ,INSE-013,INSERTS,INSERTS,Duck Feather - Foam,Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,Duck Feather - Foam,Extra Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,Duck Feather - Fibre,Normal,
60X60CM ,INSE-013,INSERTS,INSERTS,Duck Feather - Fibre,Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,100% Polyester,Normal,
60X60CM ,INSE-013,INSERTS,INSERTS,100% Polyester,Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,100% Polyester,Extra Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,30% Down 70% Feather,Normal,
60X60CM ,INSE-013,INSERTS,INSERTS,30% Down 70% Feather,Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,30% Down 70% Feather,Extra Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,50% Down 50% Feather,Normal,
60X60CM ,INSE-013,INSERTS,INSERTS,50% Down 50% Feather,Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,50% Down 50% Feather,Extra Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,80% Down 20% Feather,Normal,
60X60CM ,INSE-013,INSERTS,INSERTS,80% Down 20% Feather,Firm Fill,
60X60CM ,INSE-013,INSERTS,INSERTS,80% Down 20% Feather,Extra Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,100% Feather,Normal,
65X40CM,INSE-014,INSERTS,INSERTS,100% Feather,Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,100% Feather,Extra Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,Duck Feather - Foam,Normal,
65X40CM,INSE-014,INSERTS,INSERTS,Duck Feather - Foam,Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,Duck Feather - Foam,Extra Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,Duck Feather - Fibre,Normal,
65X40CM,INSE-014,INSERTS,INSERTS,Duck Feather - Fibre,Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,100% Polyester,Normal,
65X40CM,INSE-014,INSERTS,INSERTS,100% Polyester,Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,100% Polyester,Extra Firm Fill,
65X40CM,INSE-014,INSERTS,INSERTS,30% Down 70% Feather,Normal,
65X40CM,INSE-014,INSERTS,INSERTS,30% Down 70% Feather,Firm Fill,
