Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
50X110CM,INSERTS,FL177,100% Feather,Extra Firm Fill,47.2,,,,,,,
50X110CM,INSERTS,FL178,Duck Feather - Foam,Normal,$46.00,,,,,,,
50X110CM,INSERTS,FL179,Duck Feather - Foam,Firm Fill,46.6,,,,,,,
50X110CM,INSERTS,FL180,Duck Feather - Foam,Extra Firm Fill,47.2,,,,,,,
50X110CM,INSERTS,FL181,Duck Feather - Fibre,Normal,$46.00,,,,,,,
50X110CM,INSERTS,FL182,Duck Feather - Fibre,Firm Fill,46.6,,,,,,,
50X110CM,INSERTS,FL183,Duck Feather - Fibre,Extra Firm Fill,47.2,,,,,,,
50X110CM,INSERTS,FL184,100% Polyester,Normal,$46.00,,,,,,,
50X110CM,INSERTS,FL185,100% Polyester,Firm Fill,46.6,,,,,,,
50X110CM,INSERTS,FL186,100% Polyester,Extra Firm Fill,47.2,,,,,,,
50X110CM,INSERTS,FL187,30% Down 70% Feather,Normal,$91.00,,,,,,,
50X110CM,INSERTS,FL188,30% Down 70% Feather,Firm Fill,93.6,,,,,,,
50X110CM,INSERTS,FL189,30% Down 70% Feather,Extra Firm Fill,96.2,,,,,,,
50X110CM,INSERTS,FL190,50% Down 50% Feather,Normal,$109.25,,,,,,,
50X110CM,INSERTS,FL191,50% Down 50% Feather,Firm Fill,111.85,,,,,,,
50X110CM,INSERTS,FL192,50% Down 50% Feather,Extra Firm Fill,114.45,,,,,,,
50X110CM,INSERTS,FL193,80% Down 20% Feather,Normal,$132.25,,,,,,,
50X110CM,INSERTS,FL194,80% Down 20% Feather,Firm Fill,134.85,,,,,,,
50X110CM,INSERTS,FL195,80% Down 20% Feather,Extra Firm Fill,137.45,,,,,,,
50X30CM,INSERTS,FL196,100% Feather,Normal,$13.20,,,,,,,
50X30CM,INSERTS,FL197,100% Feather,Firm Fill,13.8,,,,,,,
50X30CM,INSERTS,FL198,100% Feather,Extra Firm Fill,14.4,,,,,,,
50X30CM,INSERTS,FL199,Duck Feather - Foam,Normal,$15.00,,,,,,,
50X30CM,INSERTS,FL200,Duck Feather - Foam,Firm Fill,15.6,,,,,,,
50X30CM,INSERTS,FL201,Duck Feather - Foam,Extra Firm Fill,16.2,,,,,,,
50X30CM,INSERTS,FL202,Duck Feather - Fibre,Normal,$15.00,,,,,,,
50X30CM,INSERTS,FL203,Duck Feather - Fibre,Firm Fill,15.6,,,,,,,
50X30CM,INSERTS,FL204,Duck Feather - Fibre,Extra Firm Fill,16.2,,,,,,,
50X30CM,INSERTS,FL205,100% Polyester,Normal,$15.00,,,,,,,
50X30CM,INSERTS,FL206,100% Polyester,Firm Fill,15.6,,,,,,,
50X30CM,INSERTS,FL207,100% Polyester,Extra Firm Fill,16.2,,,,,,,
50X30CM,INSERTS,FL208,30% Down 70% Feather,Normal,$23.00,,,,,,,
50X30CM,INSERTS,FL209,30% Down 70% Feather,Firm Fill,25.6,,,,,,,
50X30CM,INSERTS,FL210,30% Down 70% Feather,Extra Firm Fill,28.2,,,,,,,
