Product Name,Category,,Filling,Weight, Customer Price ,,,,,,,,,
45 x 23 x 6cm duck feather inserts,INSERTS,SC20,100% Feather,,$11.00,,,,,,,,,
55 x 28 x 8cm duck feather inserts,INSERTS,SC21,100% Feather,,$13.20,,,,,,,,,
55cm round x 10cm border duck feather inserts,INSERTS,SC22,100% Feather,,$21.00,,,,,,,,,
65 x 65 x 8cm Duck Feather inserts,INSERTS,SC23,100% Feather,,$22.55,,,,,,,,,
55 x 55 x 6cm duck feather inserts,INSERTS,SC24,100% Feather,,$16.50,,,,,,,,,
SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,SC25,Duck,,$82.00,,,,,,,,,
SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,SC26,Goose,,$102.50,,,,,,,,,
DOUBLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,SC27,Duck,,$115.50,,,,,,,,,
DOUBLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,SC28,Goose,,$126.50,,,,,,,,,
KING SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,SC29,Duck,,95,,,,,,,,,
KING SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,SC30,Goose,,107,,,,,,,,,
QUEEN - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,SC31,Duck,,122.5,,,,,,,,,
QUEEN - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,SC32,Goose,,154,,,,,,,,,
KING - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,SC33,Duck,,138.5,,,,,,,,,
KING - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,SC34,Goose,,180,,,,,,,,,
DOUBLE - MICROSOFT,MICROSOFT,SC35,Polyester,,$60.00,,,,,,,,,
KING - MICROSOFT,MICROSOFT,SC36,Polyester,,$75.50,,,,,,,,,
QUEEN - MICROSOFT,MICROSOFT,SC37,Polyester,,$67.00,,,,,,,,,
SINGLE - MICROSOFT,MICROSOFT,SC38,Polyester,,$47.50,,,,,,,,,
STANDARD 100% FEATHER PILLOW,PIPED PILLOWS,SC39,100% Feather,Duck,$23.00,,,,,,,,,
STANDARD 30% DUCK DOWN PILLOW,PIPED PILLOWS,SC40,30% Down 70% Feather,Duck,$37.00,,,,,,,,,
STANDARD 50% DUCK DOWN PILLOW,PIPED PILLOWS,SC41,50% Down 50% Feather,Duck,$46.00,,,,,,,,,
STANDARD 80% DUCK DOWN PILLOW,PIPED PILLOWS,SC42,80% Down 20% Feather,Duck,$69.00,,,,,,,,,
STANDARD 80% GOOSE DOWN PILLOW,PIPED PILLOWS,SC43,80% Down 20% Feather,Goose,$109.50,,,,,,,,,
QUEEN 100% FEATHER PILLOW,PIPED PILLOWS,SC44,100% Feather,Duck,$26.00,,,,,,,,,
QUEEN 30% DUCK DOWN PILLOW,PIPED PILLOWS,SC45,30% Down 70% Feather,Duck,$60.50,,,,,,,,,
QUEEN 50% DUCK DOWN PILLOW,PIPED PILLOWS,SC46,50% Down 50% Feather,Duck,$84.00,,,,,,,,,
QUEEN 80% DUCK DOWN PILLOW,PIPED PILLOWS,SC47,80% Down 20% Feather,Duck,$132.00,,,,,,,,,
QUEEN 80% GOOSE DOWN PILLOW,PIPED PILLOWS,SC48,80% Down 20% Feather,Goose,$172.00,,,,,,,,,
KING 100% FEATHER PILLOW,PIPED PILLOWS,SC49,100% Feather,Duck,$29.00,,,,,,,,,
KING 30% DUCK DOWN PILLOW,PIPED PILLOWS,SC50,30% Down 70% Feather,Duck,58.5,,,,,,,,,
KING 50% DUCK DOWN PILLOW,PIPED PILLOWS,SC51,50% Down 50% Feather,Duck,75,,,,,,,,,
KING 80% DUCK DOWN PILLOW,PIPED PILLOWS,SC52,80% Down 20% Feather,Duck,105.5,,,,,,,,,
KING 80% GOOSE DOWN PILLOW,PIPED PILLOWS,SC53,80% Down 20% Feather,Goose,138,,,,,,,,,
EURO 100% FEATHER PILLOW,PIPED PILLOWS,SC54,100% Feather,Duck,$29.00,,,,,,,,,
EURO 30% DUCK DOWN PILLOW,PIPED PILLOWS,SC55,30% Down 70% Feather,Duck,59,,,,,,,,,
EURO 50% DUCK DOWN PILLOW,PIPED PILLOWS,SC56,50% Down 50% Feather,Duck,64.5,,,,,,,,,
EURO 80% DUCK DOWN PILLOW,PIPED PILLOWS,SC57,80% Down 20% Feather,Duck,$99.50,,,,,,,,,
EURO 80% GOOSE DOWN PILLOW,PIPED PILLOWS,SC58,80% Down 20% Feather,Goose,$121.50,,,,,,,,,
SINGLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,SC59,Duck,,157,,,,,,,,,
SINGLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,SC60,Goose,,207,,,,,,,,,
DOUBLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,SC61,Duck,,183,,,,,,,,,
DOUBLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,SC62,Goose,,236,,,,,,,,,
QUEEN - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,SC63,Duck,,214,,,,,,,,,
QUEEN - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,SC64,Goose,,282,,,,,,,,,
KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,SC65,Duck,,241,,,,,,,,,
KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,SC66,Goose,,305,,,,,,,,,
SUPER KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,SC67,Duck,,241.5,,,,,,,,,
SUPER KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,SC68,Goose,,391,,,,,,,,,
SINGLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,SC69,Duck,,$92.00,,,,,,,,,
DOUBLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,SC70,Duck,,$103.50,,,,,,,,,
QUEEN - 50% DUCK WINTER ,50% DUCK WINTER FILLED,SC71,Duck,,$121.00,,,,,,,,,
KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,SC72,Duck,,$138.00,,,,,,,,,
SUPER KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,SC73,Duck,,$167.00,,,,,,,,,
SINGLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,SC74,Duck,,$80.50,,,,,,,,,
DOUBLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,SC75,Duck,,$92.00,,,,,,,,,
QUEEN - 50% DUCK DOWN MID WARM ,50% MID WARM FILLED,SC76,Duck,,$109.50,,,,,,,,,
KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,SC77,Duck,,$121.00,,,,,,,,,
SUPER KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,SC78,Duck,,$155.50,,,,,,,,,
SINGLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,SC79,Duck,,109,,,,,,,,,
SINGLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,SC80,Goose,,171.5,,,,,,,,,
SINGLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,SC81,Hungarian,,183,,,,,,,,,
DOUBLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,SC82,Duck,,126.5,,,,,,,,,
DOUBLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,SC83,Goose,,199,,,,,,,,,
DOUBLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,SC84,Hungarian,,210.5,,,,,,,,,
QUEEN - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,SC85,Duck,,$147.00,,,,,,,,,
QUEEN - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,SC86,Goose,,226,,,,,,,,,
QUEEN - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,SC87,Hungarian,,249,,,,,,,,,
KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,SC88,Duck,,161.5,,,,,,,,,
KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,SC89,Goose,,258.5,,,,,,,,,
KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,SC90,Hungarian,,267,,,,,,,,,
SUPER KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,SC91,Duck,,209.5,,,,,,,,,
SUPER KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,SC92,Goose,,356,,,,,,,,,
SUPER KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,SC93,Hungarian,,160,,,,,,,,,
SINGLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,SC94,Duck,,$121.00,,,,,,,,,
SINGLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,SC95,Goose,,$184.00,,,,,,,,,
DOUBLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,SC96,Duck,,$140.00,,,,,,,,,
DOUBLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,SC97,Goose,,$213.00,,,,,,,,,
QUEEN - 80% DUCK DOWN WINTER,80% WINTER FILLED,SC98,Duck,,$167.00,,,,,,,,,
QUEEN - 80% GOOSE DOWN WINTER,80% WINTER FILLED,SC99,Goose,,$247.50,,,,,,,,,
KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,SC100,Duck,,$189.00,,,,,,,,,
KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,SC101,Goose,,$282.00,,,,,,,,,
SUPER KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,SC102,Duck,,$265.50,,,,,,,,,
SUPER KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,SC103,Goose,,$379.50,,,,,,,,,
SINGLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,SC104,Duck,,$82.50,,,,,,,,,
DOUBLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,SC105,Duck,,$93.50,,,,,,,,,
QUEEN - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,SC106,Duck,,$109.50,,,,,,,,,
KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,SC107,Duck,,$120.50,,,,,,,,,
SUPER KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,SC108,Duck,,$160.00,,,,,,,,,
SINGLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,SC109,Goose,,$114.50,,,,,,,,,
DOUBLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,SC110,Goose,,$140.00,,,,,,,,,
QUEEN - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,SC111,Goose,,$164.00,,,,,,,,,
KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,SC112,Goose,,$177.00,,,,,,,,,
SUPER KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,SC113,Goose,,$274.00,,,,,,,,,
STANDARD CHAMBER PILLOW - 80% DUCK DOWN,CHAMBER PILLOW,SC114,Duck,,46,,,,,,,,,
KING 80% CHAMBER PILLOW,CHAMBER PILLOW,SC115,Duck,,,,,,,,,,,
STANDARD CHAMBER PILLOW - 50% DUCK DOWN,CHAMBER PILLOW,SC116,Duck,,37,,,,,,,,,
KING 50% CHAMBER PILLOW,CHAMBER PILLOW,SC117,Duck,,,,,,,,,,,
STANDARD PILLOW - 80% HUNGARIAN PILLOW,STRIP PILLOW,SC118,Hungarian,,123.5,,,,,,,,,
KING PILLOW - 80% HUNGARIAN PILLOW,STRIP PILLOW,SC119,Hungarian,,,,,,,,,,,
SINGLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,SC120,Hungarian,,$201.50,,,,,,,,,
DOUBLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,SC121,Hungarian,,$251.00,,,,,,,,,
QUEEN - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,SC122,Hungarian,,$294.00,,,,,,,,,
KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,SC123,Hungarian,,$345.00,,,,,,,,,
SUPER KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,SC124,Hungarian,,$437.00,,,,,,,,,
Double/Queen 230 x 240cms 450gms - SILVER BLANKET,SILVER BLANKET,SC125,Silver Blanket,,$70.00,,,,,,,,,
King/Super King 270 x 240cms 535 gms - SILVER BLANKET,SILVER BLANKET,SC126,Silver Blanket,,$81.00,,,,,,,,,
Single/ King Single 180 x 230gms 300gms - SILVER BLANKET,SILVER BLANKET,SC127,Silver Blanket,,$56.00,,,,,,,,,
Double/Queen 230 x 240cms 450gms - KHAKI BLANKET,KHAKI BLANKET,SC128,Khaki Blanket,,$70.00,,,,,,,,,
King/Super King 270 x 240cms 535 gms - KHAKI BLANKET,KHAKI BLANKET,SC129,Khaki Blanket,,$81.00,,,,,,,,,
Single/ King Single 180 x 230gms 300gms - KHAKI BLANKET,KHAKI BLANKET,SC130,Khaki Blanket,,$56.00,,,,,,,,,
EXTRA LARGE - MEN JACKET,JACKETS,SC131,JACKETS,,,,,,,,,,,
LARGE - MEN JACKET,JACKETS,SC132,JACKETS,,,,,,,,,,,
MEDIUM - MEN JACKET,JACKETS,SC133,JACKETS,,,,,,,,,,,
SMALL - MEN JACKET,JACKETS,SC134,JACKETS,,,,,,,,,,,
EXTRA LARGE - WOMAN JACKET,JACKETS,SC135,JACKETS,,,,,,,,,,,
LARGE - WOMAN JACKET,JACKETS,SC136,JACKETS,,,,,,,,,,,
MEDIUM - WOMAN JACKET,JACKETS,SC137,JACKETS,,,,,,,,,,,
SMALL - WOMAN JACKET,JACKETS,SC138,JACKETS,,,,,,,,,,,
