Product	Category	SKU	Filling	Weight	Price
45X45CM	INSERTS	POULOS109	100% Feather	Extra Firm Fill	$11.70
45X45CM	INSERTS	POULOS110	100% Feather	Firm Fill	$11.10
45X45CM	INSERTS	POULOS111	100% Feather	Normal	$10.50
45X45CM	INSERTS	POULOS112	100% Polyester	Extra Firm Fill	$13.20
45X45CM	INSERTS	POULOS113	100% Polyester	Firm Fill	$12.60
45X45CM	INSERTS	POULOS114	100% Polyester	Normal	$12.00
45X45CM	INSERTS	POULOS115	30% Down 70% Feather	Extra Firm Fill	$28.70
45X45CM	INSERTS	POULOS116	30% Down 70% Feather	Firm Fill	$26.10
45X45CM	INSERTS	POULOS117	30% Down 70% Feather	Normal	$23.50
45X45CM	INSERTS	POULOS118	50% Down 50% Feather	Extra Firm Fill	$38.00
45X45CM	INSERTS	POULOS119	50% Down 50% Feather	Firm Fill	$35.40
45X45CM	INSERTS	POULOS120	50% Down 50% Feather	Normal	$32.80
45X45CM	INSERTS	POULOS121	80% Down 20% Feather	Extra Firm Fill	$53.70
45X45CM	INSERTS	POULOS122	80% Down 20% Feather	Firm Fill	$51.10
45X45CM	INSERTS	POULOS123	80% Down 20% Feather	Normal	$48.50
45X45CM	INSERTS	POULOS124	Duck Feather - Fibre	Extra Firm Fill	$13.20
45X45CM	INSERTS	POULOS125	Duck Feather - Fibre	Firm Fill	$12.60
45X45CM	INSERTS	POULOS126	Duck Feather - Fibre	Normal	$12.00
45X45CM	INSERTS	POULOS127	Duck Feather - Foam	Extra Firm Fill	$13.20
45X45CM	INSERTS	POULOS128	Duck Feather - Foam	Firm Fill	$12.60
45X45CM	INSERTS	POULOS129	Duck Feather - Foam	Normal	$12.00
45X70CM	INSERTS	POULOS130	100% Feather	Extra Firm Fill	$18.85
45X70CM	INSERTS	POULOS131	100% Feather	Firm Fill	$18.25
45X70CM	INSERTS	POULOS132	100% Feather	Normal	$17.65
45X70CM	INSERTS	POULOS133	100% Polyester	Extra Firm Fill	$21.20
45X70CM	INSERTS	POULOS134	100% Polyester	Firm Fill	$20.60
45X70CM	INSERTS	POULOS135	100% Polyester	Normal	$20.00
45X70CM	INSERTS	POULOS136	30% Down 70% Feather	Extra Firm Fill	$41.90
45X70CM	INSERTS	POULOS137	30% Down 70% Feather	Firm Fill	$39.30
45X70CM	INSERTS	POULOS138	30% Down 70% Feather	Normal	$36.70
45X70CM	INSERTS	POULOS139	50% Down 50% Feather	Extra Firm Fill	$57.35
45X70CM	INSERTS	POULOS140	50% Down 50% Feather	Firm Fill	$54.75
45X70CM	INSERTS	POULOS141	50% Down 50% Feather	Normal	$52.15
45X70CM	INSERTS	POULOS142	80% Down 20% Feather	Extra Firm Fill	$78.20
45X70CM	INSERTS	POULOS143	80% Down 20% Feather	Firm Fill	$75.60
45X70CM	INSERTS	POULOS144	80% Down 20% Feather	Normal	$73.00
45X70CM	INSERTS	POULOS145	Duck Feather - Fibre	Extra Firm Fill	$21.20
45X70CM	INSERTS	POULOS146	Duck Feather - Fibre	Firm Fill	$20.60
