Product Name,Category,,Filling,Weight, Customer Price ,,
30X55CM,INSERTS,PFH031,30% Down 70% Feather,Extra Firm Fill,$17.20,,
30X55CM,INSERTS,PFH032,50% Down 50% Feather,Normal,$27.50,,
30X55CM,INSERTS,PFH033,50% Down 50% Feather,Firm Fill,$30.10,,
30X55CM,INSERTS,PFH034,50% Down 50% Feather,Extra Firm Fill,$32.70,,
30X55CM,INSERTS,PFH035,80% Down 20% Feather,Normal,$36.80,,
30X55CM,INSERTS,PFH036,80% Down 20% Feather,Firm Fill,$39.40,,
30X55CM,INSERTS,PFH037,80% Down 20% Feather,Extra Firm Fill,$42.00,,
40X40CM,INSERTS,PFH038,100% Feather,Normal,$9.20,,
40X40CM,INSERTS,PFH039,100% Feather,Firm Fill,$9.80,,
40X40CM,INSERTS,PFH040,100% Feather,Extra Firm Fill,$10.40,,
40X40CM,INSERTS,PFH041,Duck Feather - Foam,Normal,$11.00,,
40X40CM,INSERTS,PFH042,Duck Feather - Foam,Firm Fill,$11.60,,
40X40CM,INSERTS,PFH043,Duck Feather - Foam,Extra Firm Fill,$12.20,,
40X40CM,INSERTS,PFH044,Duck Feather - Fibre,Normal,$11.00,,
40X40CM,INSERTS,PFH045,Duck Feather - Fibre,Firm Fill,$11.60,,
40X40CM,INSERTS,PFH046,Duck Feather - Fibre,Extra Firm Fill,$12.20,,
40X40CM,INSERTS,PFH047,100% Polyester,Normal,$11.00,,
40X40CM,INSERTS,PFH048,100% Polyester,Firm Fill,$11.60,,
40X40CM,INSERTS,PFH049,100% Polyester,Extra Firm Fill,$12.20,,
40X40CM,INSERTS,PFH050,30% Down 70% Feather,Normal,$19.00,,
40X40CM,INSERTS,PFH051,30% Down 70% Feather,Firm Fill,$21.60,,
40X40CM,INSERTS,PFH052,30% Down 70% Feather,Extra Firm Fill,$24.20,,
40X40CM,INSERTS,PFH053,50% Down 50% Feather,Normal,$27.00,,
40X40CM,INSERTS,PFH054,50% Down 50% Feather,Firm Fill,$29.60,,
40X40CM,INSERTS,PFH055,50% Down 50% Feather,Extra Firm Fill,$32.20,,
40X40CM,INSERTS,PFH056,80% Down 20% Feather,Normal,$44.00,,
40X40CM,INSERTS,PFH057,80% Down 20% Feather,Firm Fill,$46.60,,
40X40CM,INSERTS,PFH058,80% Down 20% Feather,Extra Firm Fill,$49.20,,
45X45CM,INSERTS,PFH059,100% Feather,Normal,$10.50,,
45X45CM,INSERTS,PFH060,100% Feather,Firm Fill,$11.10,,
45X45CM,INSERTS,PFH061,100% Feather,Extra Firm Fill,$11.70,,
45X45CM,INSERTS,PFH062,Duck Feather - Foam,Normal,$12.00,,
45X45CM,INSERTS,PFH063,Duck Feather - Foam,Firm Fill,$12.60,,
45X45CM,INSERTS,PFH064,Duck Feather - Foam,Extra Firm Fill,$13.20,,
45X45CM,INSERTS,PFH065,Duck Feather - Fibre,Normal,$12.00,,
45X45CM,INSERTS,PFH066,Duck Feather - Fibre,Firm Fill,$12.60,,
45X45CM,INSERTS,PFH067,Duck Feather - Fibre,Extra Firm Fill,$13.20,,
45X45CM,INSERTS,PFH068,100% Polyester,Normal,$12.00,,
45X45CM,INSERTS,PFH069,100% Polyester,Firm Fill,$12.60,,
45X45CM,INSERTS,PFH070,100% Polyester,Extra Firm Fill,$13.20,,
45X45CM,INSERTS,PFH071,30% Down 70% Feather,Normal,$23.50,,
45X45CM,INSERTS,PFH072,30% Down 70% Feather,Firm Fill,$26.10,,
45X45CM,INSERTS,PFH073,30% Down 70% Feather,Extra Firm Fill,$28.70,,
45X45CM,INSERTS,PFH074,50% Down 50% Feather,Normal,$32.80,,
45X45CM,INSERTS,PFH075,50% Down 50% Feather,Firm Fill,$35.40,,
45X45CM,INSERTS,PFH076,50% Down 50% Feather,Extra Firm Fill,$38.00,,
45X45CM,INSERTS,PFH077,80% Down 20% Feather,Normal,$48.50,,
45X45CM,INSERTS,PFH078,80% Down 20% Feather,Firm Fill,$51.10,,
45X45CM,INSERTS,PFH079,80% Down 20% Feather,Extra Firm Fill,$53.70,,
40X80CM,INSERTS,PFH080,100% Feather,Normal,$19.00,,
40X80CM,INSERTS,PFH081,100% Feather,Firm Fill,$19.60,,
40X80CM,INSERTS,PFH082,100% Feather,Extra Firm Fill,$20.20,,
40X80CM,INSERTS,PFH083,Duck Feather - Foam,Normal,$21.25,,
40X80CM,INSERTS,PFH084,Duck Feather - Foam,Firm Fill,$21.85,,
40X80CM,INSERTS,PFH085,Duck Feather - Foam,Extra Firm Fill,$22.45,,
40X80CM,INSERTS,PFH086,Duck Feather - Fibre,Normal,$21.25,,
40X80CM,INSERTS,PFH087,Duck Feather - Fibre,Firm Fill,$21.85,,
40X80CM,INSERTS,PFH088,Duck Feather - Fibre,Extra Firm Fill,$22.45,,
40X80CM,INSERTS,PFH089,100% Polyester,Normal,$21.25,,
40X80CM,INSERTS,PFH090,100% Polyester,Firm Fill,$21.85,,
40X80CM,INSERTS,PFH091,100% Polyester,Extra Firm Fill,$22.45,,
40X80CM,INSERTS,PFH092,30% Down 70% Feather,Normal,$43.00,,
40X80CM,INSERTS,PFH093,30% Down 70% Feather,Firm Fill,$45.60,,
40X80CM,INSERTS,PFH094,30% Down 70% Feather,Extra Firm Fill,$48.20,,
40X80CM,INSERTS,PFH095,50% Down 50% Feather,Normal,$68.40,,
40X80CM,INSERTS,PFH096,50% Down 50% Feather,Firm Fill,$71.00,,
40X80CM,INSERTS,PFH097,50% Down 50% Feather,Extra Firm Fill,$73.60,,
40X80CM,INSERTS,PFH098,80% Down 20% Feather,Normal,$83.00,,
40X80CM,INSERTS,PFH099,80% Down 20% Feather,Firm Fill,$85.60,,
40X80CM,INSERTS,PFH100,80% Down 20% Feather,Extra Firm Fill,$88.20,,
45X70CM,INSERTS,PFH101,100% Feather,Normal,$17.65,,
45X70CM,INSERTS,PFH102,100% Feather,Firm Fill,$18.25,,
45X70CM,INSERTS,PFH103,100% Feather,Extra Firm Fill,$18.85,,
45X70CM,INSERTS,PFH104,Duck Feather - Foam,Normal,$20.00,,
45X70CM,INSERTS,PFH105,Duck Feather - Foam,Firm Fill,$20.60,,
45X70CM,INSERTS,PFH106,Duck Feather - Foam,Extra Firm Fill,$21.20,,
45X70CM,INSERTS,PFH107,Duck Feather - Fibre,Normal,$20.00,,
45X70CM,INSERTS,PFH108,Duck Feather - Fibre,Firm Fill,$20.60,,
45X70CM,INSERTS,PFH109,Duck Feather - Fibre,Extra Firm Fill,$21.20,,
45X70CM,INSERTS,PFH110,100% Polyester,Normal,$20.00,,
45X70CM,INSERTS,PFH111,100% Polyester,Firm Fill,$20.60,,
45X70CM,INSERTS,PFH112,100% Polyester,Extra Firm Fill,$21.20,,
45X70CM,INSERTS,PFH113,30% Down 70% Feather,Normal,$36.70,,
45X70CM,INSERTS,PFH114,30% Down 70% Feather,Firm Fill,$39.30,,
45X70CM,INSERTS,PFH115,30% Down 70% Feather,Extra Firm Fill,$41.90,,
45X70CM,INSERTS,PFH116,50% Down 50% Feather,Normal,$52.15,,
45X70CM,INSERTS,PFH117,50% Down 50% Feather,Firm Fill,$54.75,,
45X70CM,INSERTS,PFH118,50% Down 50% Feather,Extra Firm Fill,$57.35,,
45X70CM,INSERTS,PFH119,80% Down 20% Feather,Normal,$73.00,,
45X70CM,INSERTS,PFH120,80% Down 20% Feather,Firm Fill,$75.60,,
45X70CM,INSERTS,PFH121,80% Down 20% Feather,Extra Firm Fill,$78.20,,
50X110CM ,INSERTS,PFH122,100% Feather,Normal,$46.00,,
50X110CM ,INSERTS,PFH123,100% Feather,Firm Fill,$46.60,,
50X110CM ,INSERTS,PFH124,100% Feather,Extra Firm Fill,$47.20,,
50X110CM ,INSERTS,PFH125,Duck Feather - Foam,Normal,$46.00,,
