Product Name,Category,Sku,Filling,Weight,PRICES,Unnamed: 6
130 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 95,Duck Feather,Extra Firm Fill,86.20,
70 long x 25cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 96,Duck Feather,Normal,40.00,
70 long x 25cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 96,Duck Feather,Firm Fill,40.60,
70 long x 25cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 96,Duck Feather,Extra Firm Fill,41.20,
95 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 97,Duck Feather,Normal,70.00,
95 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 97,Duck Feather,Firm Fill,70.60,
95 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 97,Duck Feather,Extra Firm Fill,71.20,
130 long x 18cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 98,Duck Feather,Normal,85.00,
130 long x 18cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 98,Duck Feather,Firm Fill,85.60,
130 long x 18cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 98,Duck Feather,Extra Firm Fill,86.20,
55 long x 14cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 99,Duck Feather,Normal,30.00,
55 long x 14cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 99,Duck Feather,Firm Fill,30.60,
55 long x 14cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 99,Duck Feather,Extra Firm Fill,31.20,
120 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 100,Duck Feather,Normal,75.00,
120 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 100,Duck Feather,Firm Fill,75.60,
120 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 100,Duck Feather,Extra Firm Fill,76.20,
80 long x 22cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 101,Duck Feather,Normal,85.00,
80 long x 22cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 101,Duck Feather,Firm Fill,85.60,
80 long x 22cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 101,Duck Feather,Extra Firm Fill,86.20,
63 long x 12cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 102,Duck Feather,Normal,30.00,
63 long x 12cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 102,Duck Feather,Firm Fill,30.60,
63 long x 12cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 102,Duck Feather,Extra Firm Fill,31.20,
40 long x 15cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 103,Duck Feather,Normal,25.00,
40 long x 15cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 103,Duck Feather,Firm Fill,25.60,
40 long x 15cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 103,Duck Feather,Extra Firm Fill,26.20,
55 long x 25cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 104,Duck Feather,Normal,45.00,
55 long x 25cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 104,Duck Feather,Firm Fill,45.60,
55 long x 25cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 104,Duck Feather,Extra Firm Fill,46.20,
