Product Name,Category,SKU,Filling,Weight,Customer Price,,
50X90CM,INSERTS,ECO801,30% Down 70% Feather,Normal,$71.00,,
50X90CM,INSERTS,ECO802,30% Down 70% Feather,Firm Fill,$73.60,,
50X90CM,INSERTS,ECO803,30% Down 70% Feather,Extra Firm Fill,$76.20,,
50X90CM,INSERTS,ECO804,50% Down 50% Feather,Normal,$92.55,,
50X90CM,INSERTS,ECO805,50% Down 50% Feather,Firm Fill,$95.15,,
50X90CM,INSERTS,ECO806,50% Down 50% Feather,Extra Firm Fill,$97.75,,
50X90CM,INSERTS,ECO807,80% Down 20% Feather,Normal,$107.00,,
50X90CM,INSERTS,ECO808,80% Down 20% Feather,Firm Fill,$109.60,,
50X90CM,INSERTS,ECO809,80% Down 20% Feather,Extra Firm Fill,$112.20,,
55X55CM,INSERTS,ECO810,100% Feather,Normal,$12.00,,
55X55CM,INSERTS,ECO811,100% Feather,Firm Fill,$12.60,,
55X55CM,INSERTS,ECO812,100% Feather,Extra Firm Fill,$13.20,,
55X55CM,INSERTS,ECO813,Duck Feather - Foam,Normal,$15.00,,
55X55CM,INSERTS,ECO814,Duck Feather - Foam,Firm Fill,$15.60,,
55X55CM,INSERTS,ECO815,Duck Feather - Foam,Extra Firm Fill,$16.20,,
55X55CM,INSERTS,ECO816,Duck Feather - Fibre,Normal,$15.00,,
55X55CM,INSERTS,ECO817,Duck Feather - Fibre,Firm Fill,$15.60,,
55X55CM,INSERTS,ECO818,Duck Feather - Fibre,Extra Firm Fill,$16.20,,
55X55CM,INSERTS,ECO819,100% Polyester,Normal,$15.00,,
55X55CM,INSERTS,ECO820,100% Polyester,Firm Fill,$15.60,,
55X55CM,INSERTS,ECO821,100% Polyester,Extra Firm Fill,$16.20,,
55X55CM,INSERTS,ECO822,30% Down 70% Feather,Normal,$30.25,,
55X55CM,INSERTS,ECO823,30% Down 70% Feather,Firm Fill,$32.85,,
55X55CM,INSERTS,ECO824,30% Down 70% Feather,Extra Firm Fill,$35.45,,
55X55CM,INSERTS,ECO825,50% Down 50% Feather,Normal,$45.10,,
55X55CM,INSERTS,ECO826,50% Down 50% Feather,Firm Fill,$47.70,,
55X55CM,INSERTS,ECO827,50% Down 50% Feather,Extra Firm Fill,$50.30,,
55X55CM,INSERTS,ECO828,80% Down 20% Feather,Normal,$65.00,,
55X55CM,INSERTS,ECO829,80% Down 20% Feather,Firm Fill,$67.60,,
55X55CM,INSERTS,ECO830,80% Down 20% Feather,Extra Firm Fill,$70.20,,
60X40CM,INSERTS,ECO831,100% Feather,Normal,$15.50,,
60X40CM,INSERTS,ECO832,100% Feather,Firm Fill,$16.10,,
60X40CM,INSERTS,ECO833,100% Feather,Extra Firm Fill,$16.70,,
60X40CM,INSERTS,ECO834,Duck Feather - Foam,Normal,$17.50,,
60X40CM,INSERTS,ECO835,Duck Feather - Foam,Firm Fill,$18.10,,
60X40CM,INSERTS,ECO836,Duck Feather - Foam,Extra Firm Fill,$18.70,,
60X40CM,INSERTS,ECO837,Duck Feather - Fibre,Normal,$17.50,,
