Product Name,SKU,Category,Filling,Weight,Customer Price
50X110CM - (53X113CM),INSE-006,INSERTS,100% Feather,Extra Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,Duck Feather - Foam,Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,Duck Feather - Foam,Extra Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,Duck Feather - Fibre,Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,100% Polyester,Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,100% Polyester,Extra Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,30% Down 70% Feather,Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,30% Down 70% Feather,Extra Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,50% Down 50% Feather,Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,50% Down 50% Feather,Extra Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,80% Down 20% Feather,Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,80% Down 20% Feather,Extra Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,100% Feather,Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,100% Feather,Extra Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,Duck Feather - Foam,Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,Duck Feather - Foam,Extra Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,Duck Feather - Fibre,Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,100% Polyester,Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,100% Polyester,Extra Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,30% Down 70% Feather,Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,30% Down 70% Feather,Extra Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,50% Down 50% Feather,Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,50% Down 50% Feather,Extra Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,80% Down 20% Feather,Firm Fill,
50X30CM - (53X33CM),INSE-007,INSERTS,80% Down 20% Feather,Extra Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,100% Feather,Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,100% Feather,Extra Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,Duck Feather - Foam,Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,Duck Feather - Foam,Extra Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,Duck Feather - Fibre,Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,100% Polyester,Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,100% Polyester,Extra Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,30% Down 70% Feather,Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,30% Down 70% Feather,Extra Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,50% Down 50% Feather,Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,50% Down 50% Feather,Extra Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,80% Down 20% Feather,Firm Fill,
50X50CM - (53X53CM),INSE-008,INSERTS,80% Down 20% Feather,Extra Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,100% Feather,Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,100% Feather,Extra Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,Duck Feather - Foam,Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,Duck Feather - Foam,Extra Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,Duck Feather - Fibre,Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,100% Polyester,Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,100% Polyester,Extra Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,30% Down 70% Feather,Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,30% Down 70% Feather,Extra Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,50% Down 50% Feather,Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,50% Down 50% Feather,Extra Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,80% Down 20% Feather,Firm Fill,
50X80CM - (53X83CM),INSE-009,INSERTS,80% Down 20% Feather,Extra Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,100% Feather,Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,100% Feather,Extra Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,Duck Feather - Foam,Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,Duck Feather - Foam,Extra Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,Duck Feather - Fibre,Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,100% Polyester,Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,100% Polyester,Extra Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,30% Down 70% Feather,Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,30% Down 70% Feather,Extra Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,50% Down 50% Feather,Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,50% Down 50% Feather,Extra Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,80% Down 20% Feather,Firm Fill,
50X90CM - (53X93CM),INSE-010,INSERTS,80% Down 20% Feather,Extra Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,100% Feather,Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,100% Feather,Extra Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,Duck Feather - Foam,Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,Duck Feather - Foam,Extra Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,Duck Feather - Fibre,Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,100% Polyester,Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,100% Polyester,Extra Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,30% Down 70% Feather,Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,30% Down 70% Feather,Extra Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,50% Down 50% Feather,Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,50% Down 50% Feather,Extra Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,80% Down 20% Feather,Firm Fill,
55X55CM - (58X58CM),INSE-011,INSERTS,80% Down 20% Feather,Extra Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,100% Feather,Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,100% Feather,Extra Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,Duck Feather - Foam,Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,Duck Feather - Foam,Extra Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,Duck Feather - Fibre,Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,100% Polyester,Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,100% Polyester,Extra Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,30% Down 70% Feather,Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,30% Down 70% Feather,Extra Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,50% Down 50% Feather,Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,50% Down 50% Feather,Extra Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,80% Down 20% Feather,Firm Fill,
60X40CM - (63X43CM),INSE-012,INSERTS,80% Down 20% Feather,Extra Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,100% Feather,Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,100% Feather,Extra Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,Duck Feather - Foam,Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,Duck Feather - Foam,Extra Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,Duck Feather - Fibre,Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
60X60CM - (63X63CM),INSE-013,INSERTS,100% Polyester,Firm Fill,
